"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
0.000158956171087677,-0.876246274504617,0.048,0.111,1,"Hexa","Down"
0.000161176367501316,-0.342916242473663,0.309,0.452,1,"Slc24a3","Down"
0.000163342768726697,-0.283590084771095,0.108,0.2,1,"Chordc1","Down"
0.000164089173314334,-0.369315370381078,0.14,0.241,1,"Slc22a17","Down"
0.000164138929468687,-0.361365312270751,0.098,0.185,1,"Ubc","Down"
0.000165050937642433,-0.592642733951884,0.06,0.13,1,"Naca","Down"
0.000165547678765523,-0.491829812878097,0.104,0.19,1,"Cops2","Down"
0.000166193686812777,-0.26292236964743,0.108,0.201,1,"Gm49336","Down"
0.000166794335929812,-0.622363637480676,0.068,0.142,1,"Rpn1","Down"
0.000168048800857507,-0.658087667333211,0.1,0.185,1,"St3gal5","Down"
0.000169121903141663,-1.29825250355281,0.042,0.101,1,"Pdcd11","Down"
0.000169507248084978,-0.390540675878791,0.194,0.31,1,"Ociad1","Down"
0.000173486566825079,-0.433178866373903,0.082,0.161,1,"Parp6","Down"
0.000177279629402447,-0.395107885743756,0.11,0.201,1,"Tef","Down"
0.000177293617985481,-0.689099881734146,0.064,0.136,1,"Rbx1","Down"
0.000177962817640373,-0.613624340676005,0.078,0.156,1,"Rnf10","Down"
0.000177964411678315,-0.397530057126826,0.08,0.16,1,"Chd3","Down"
0.000177985661999593,-0.507645121319422,0.064,0.136,1,"Psma7","Down"
0.000178765817957123,-0.55149260976642,0.054,0.12,1,"Pcdh1","Down"
0.000178987329236304,-0.546426632590935,0.068,0.141,1,"Rrp1","Down"
0.000179243335288057,-0.290764707823209,0.086,0.169,1,"Sestd1","Down"
0.000183056810686676,-0.646483318436419,0.078,0.154,1,"P2rx4","Down"
0.000184229317568908,-0.416850035696665,0.094,0.178,1,"Pik3cb","Down"
0.000185365141795504,-0.835937123690785,0.072,0.145,1,"Nkd1","Down"
0.000188538910415425,-0.523675343785051,0.116,0.207,1,"Lgi1","Down"
0.000190275226446087,-0.911982581763763,0.052,0.116,1,"Fam3c","Down"
0.00019168603651015,-0.477202970191665,0.162,0.267,1,"Arpc1a","Down"
0.000193339851376876,-0.545747800323407,0.09,0.172,1,"Mettl16","Down"
0.000197088455759975,-0.721586875154647,0.056,0.123,1,"Psma2","Down"
0.000198219938249412,-0.256940417777964,0.277,0.422,1,"Lncpint","Down"
0.000198710626909056,-0.533992659309981,0.06,0.129,1,"Psmd13","Down"
0.000199803233970356,-0.894404581722087,0.052,0.117,1,"Ndufb7","Down"
0.000200962958309797,-0.730771828870532,0.076,0.153,1,"Jund","Down"
0.000201332920807943,-0.363022427902597,0.166,0.273,1,"Dnm1","Down"
0.000201903939647124,-0.415941652715228,0.098,0.182,1,"Rab12","Down"
0.000207069793353679,-0.784813795884857,0.046,0.108,1,"Npdc1","Down"
0.000210603837665606,-0.995974018102883,0.078,0.15,1,"Cyp7b1","Down"
0.000214790987600607,-0.477885988985137,0.082,0.16,1,"Txlna","Down"
0.000216659478296604,-0.992738529685931,0.072,0.144,1,"Sst","Down"
0.000219177454347705,-0.288928033037662,0.162,0.27,1,"Peg3","Down"
0.000219192719696567,-0.549585340200314,0.094,0.176,1,"Maml3","Down"
0.00022076373900035,-0.330703542866223,0.226,0.345,1,"Upf2","Down"
0.000222824255046341,-0.311314200065328,0.156,0.264,1,"Rps14","Down"
0.0002230504587755,0.831567247566749,0.347,0.287,1,"Gm11867","Up"
0.000224478816670952,-0.723666658437656,0.048,0.111,1,"1190005I06Rik","Down"
0.000225550848721833,-0.299768939495334,0.18,0.296,1,"Tardbp","Down"
0.000226216437635168,0.270754409384247,0.918,0.947,1,"Opcml","Up"
0.000226366410024734,0.53580828368965,0.519,0.481,1,"Rims2","Up"
0.000233410084951443,-0.773922811466929,0.05,0.113,1,"Nefl","Down"
0.000237667484783922,-0.466233041013492,0.136,0.233,1,"Dgkh","Down"
0.000239039060768915,-0.297812539922263,0.285,0.43,1,"Clock","Down"
0.000239229154524511,-0.281326880164358,0.299,0.436,1,"A330049N07Rik","Down"
0.000239770248793687,-0.929335400003122,0.042,0.101,1,"Igip","Down"
0.000241367257904657,-0.262466975056751,0.521,0.693,1,"Faf1","Down"
0.000245942925868421,-0.297817208572215,0.505,0.652,1,"Pakap","Down"
0.000246549309862694,-0.400314656047305,0.172,0.277,1,"Plpp3","Down"
0.000248078702111323,-0.648680114100154,0.056,0.121,1,"Slit1","Down"
0.000251017149272543,-0.332366156473772,0.214,0.332,1,"Snrpn","Down"
0.000251888252358587,-0.258473202235862,0.106,0.194,1,"Ggps1","Down"
0.000252898808944491,-0.539150612486837,0.058,0.126,1,"Camkv","Down"
0.000258437009916199,-0.259851230388581,0.244,0.379,1,"Atp11b","Down"
0.000261450892476869,-0.518507971705946,0.094,0.176,1,"Mettl7a1","Down"
0.000262331470229346,-0.590199299192369,0.082,0.157,1,"Fam98a","Down"
0.000269224491218092,-0.369556522722687,0.096,0.181,1,"Nr1d2","Down"
0.000270038811162955,-0.838240159136965,0.042,0.101,1,"Git1","Down"
0.000271946597915377,-0.590917127736618,0.072,0.144,1,"Taf1d","Down"
0.000275933826667117,-0.745909943237914,0.086,0.16,1,"Ptprn","Down"
0.000277868824918808,-0.56490038605309,0.114,0.2,1,"Eif2s2","Down"
0.000280768537338656,-0.371670517148238,0.08,0.157,1,"Zcchc14","Down"
0.000283048353189467,-0.725894246455186,0.046,0.107,1,"Ndufa3","Down"
0.000284492763161415,-0.277460682174959,0.206,0.327,1,"Actn4","Down"
0.000287846344879886,-0.258196620595771,0.16,0.268,1,"Tecr","Down"
0.000291479150015636,-0.272140105660626,0.305,0.449,1,"Cpd","Down"
0.00029843961903277,-0.351234262746173,0.156,0.258,1,"Syn1","Down"
0.000298482818587728,-0.27029401165993,0.447,0.616,1,"Syne1","Down"
0.00030829018854768,-0.862279651041401,0.048,0.108,1,"Gtpbp4","Down"
0.000309205315275585,-0.46027471800505,0.058,0.124,1,"Gng11","Down"
0.000311205112378136,-0.25079876497112,0.124,0.216,1,"Erlec1","Down"
0.0003117309816545,-0.304210984930214,0.116,0.209,1,"Iftap","Down"
0.000312863651317749,-0.380554059697793,0.146,0.243,1,"Zfyve16","Down"
0.00031924040567424,-0.317096867112858,0.15,0.247,1,"Jak1","Down"
0.000319279977578944,-0.743171987472686,0.048,0.11,1,"Ctxn1","Down"
0.000323160968324366,-0.782921006056535,0.044,0.102,1,"Eif1ax","Down"
0.000324385549382549,-0.714918400198322,0.056,0.12,1,"Adamtsl4","Down"
0.000326503335448156,-0.688067293947842,0.048,0.108,1,"Prrc2a","Down"
0.000327641165965735,-0.681405826024062,0.06,0.126,1,"Cct5","Down"
0.000330101998754104,-0.750884558354453,0.07,0.139,1,"Lmo7","Down"
0.000333357734481687,-0.363651028893319,0.086,0.163,1,"Vdac1","Down"
0.000334140484812693,-0.285305451400427,0.369,0.519,1,"Ascc3","Down"
0.000336964108486318,-0.313779490660056,0.088,0.169,1,"Adora1","Down"
0.000337997615653532,-0.442064257220505,0.072,0.144,1,"Brk1","Down"
0.000338135232136329,-0.543064934056031,0.086,0.163,1,"Omg","Down"
0.000338342956293061,-0.34672944604321,0.186,0.295,1,"Sec63","Down"
0.000340382311265913,-0.342720805880613,0.329,0.462,1,"Kifap3","Down"
0.00034160329608206,-0.25139520985893,0.106,0.194,1,"Hdx","Down"
0.000341736959123953,-0.302198524229802,0.271,0.4,1,"Adamts6","Down"
0.00034324950356317,-0.281263786476842,0.371,0.519,1,"Ncald","Down"
0.00034865846494201,-0.278365609946955,0.22,0.339,1,"Map1a","Down"
0.000348821519650585,-0.308774373868371,0.14,0.237,1,"Sybu","Down"
0.000350156054282695,-0.680890088961602,0.06,0.126,1,"Nup35","Down"
