names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_4 (for_DEGs),mean_expr_Rest (for_DEGs)
Wdr66,-10.307833,-2.2527034,6.494974601574134e-25,3.47303417998601e-24,0.013190954773869347,0.16872210032533858,0.019380752,0.08916836
Fkbp8,-10.309641,-0.67972636,6.373906267271826e-25,3.40897415210179e-24,0.07600502512562814,0.2435878035862904,0.10063743,0.15665783
Pdia6,-10.31156,-0.40340725,6.247915166413943e-25,3.342255236343672e-24,0.11243718592964824,0.29019444654611487,0.15491895,0.20018148
Rpl23,-10.312307,-0.5570635,6.199467765511468e-25,3.316999180790385e-24,0.15452261306532664,0.33699023984262694,0.22878084,0.320789
Pcolce2,-10.315457,-0.5454537,5.999502868903024e-25,3.211927517183189e-24,0.056532663316582916,0.22157070439585383,0.08241562,0.11812029
Akap1,-10.316686,-0.6722747,5.923285225122207e-25,3.1717551613996354e-24,0.056532663316582916,0.22077627298176591,0.075121514,0.117181614
Tsen15,-10.317704,-0.92358774,5.860763543978976e-25,3.139527839448068e-24,0.03768844221105527,0.198078232579254,0.055521477,0.10282093
Smc2,-10.3184395,-1.1370053,5.816064392742226e-25,3.1168258921616196e-24,0.038944723618090454,0.19894832412801694,0.052295804,0.11160518
Psmd5,-10.320762,-0.5289554,5.67709523627236e-25,3.0429592858296094e-24,0.06532663316582915,0.23193614284633426,0.09108325,0.12891495
Tpgs2,-10.321649,-1.0755986,5.624899876310499e-25,3.0155837924274363e-24,0.04082914572864322,0.20140727850495574,0.05509576,0.112773046
Gas2l1,-10.324099,-1.9773973,5.483163926721177e-25,2.9407707527145316e-24,0.017587939698492462,0.17401830975259136,0.024048677,0.09152763
Thap4,-10.324784,-0.65663266,5.444123213913028e-25,2.9204150680343995e-24,0.05339195979899498,0.21763637739275177,0.07404161,0.114353865
St3gal1,-10.326318,-1.1777223,5.3577755580073865e-25,2.874669114290305e-24,0.03768844221105527,0.19781342210789135,0.05628755,0.12308923
Akr1a1,-10.333576,-0.2714906,4.967330096384634e-25,2.6657111981197346e-24,0.1306532663316583,0.31629719300900355,0.19058594,0.22588468
Trap1,-10.335522,-0.5013927,4.8675440351755545e-25,2.61268294496938e-24,0.0728643216080402,0.24177196035408943,0.095740765,0.13298137
Cblb,-10.337599,-0.32288986,4.763241502233132e-25,2.5572087745255596e-24,0.31721105527638194,0.5854581221154573,0.49299717,0.5861465
Ercc4,-10.3431,-0.39960396,4.4975262964125e-25,2.4150386008114282e-24,0.07349246231155779,0.24328516304759024,0.1001954,0.13016894
Taf1a,-10.343463,-0.6830574,4.480487811265905e-25,2.406370327577751e-24,0.05527638190954774,0.21986835136566543,0.07301673,0.114771605
Nup98,-10.346407,-0.28018427,4.344870717606342e-25,2.334466630315585e-24,0.31721105527638194,0.611409548308996,0.48433012,0.5634059
Agrp,-10.346734,-2.0912266,4.3300635624136525e-25,2.3269761584410968e-24,0.01821608040201005,0.17500189150336687,0.021006811,0.08659858
Vrk2,-10.346744,-0.71240735,4.329630936277399e-25,2.3269761584410968e-24,0.09610552763819095,0.26738291594159036,0.13924815,0.21898483
Grsf1,-10.347173,-0.6745135,4.310278808123637e-25,2.3172707397815554e-24,0.06155778894472362,0.22747219490050694,0.08368154,0.13042115
Syt3,-10.355059,-1.0044413,3.9694199089805545e-25,2.1348741584128805e-24,0.03957286432160804,0.2007263372928804,0.053810157,0.105178855
Gm32542,-10.358752,-3.4059377,3.8190996883007375e-25,2.0544386111039202e-24,0.0043969849246231155,0.1594159037603087,0.0070597148,0.0724089
