names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA1 (for_DEGs),mean_expr_Rest (for_DEGs)
Nol10,8.21206,0.43813178,2.1742551433015038e-16,2.4723756115324335e-15,0.42555282555282553,0.3400792582047632,0.27788454,0.21223217
2600014E21Rik,8.211447,1.849413,2.185388581673107e-16,2.4839843988814037e-15,0.18083538083538084,0.07821938363279597,0.14967434,0.043830156
Mrtfb,8.209386,0.39573526,2.223232289761691e-16,2.5259303013064116e-15,0.9292383292383293,0.6870070408987726,1.139445,0.96135676
Prpf40a,8.209047,0.25171754,2.2295096302752783e-16,2.5319917060649504e-15,0.8034398034398035,0.6297949290138894,0.7522729,0.6638293
Phf8,8.207283,0.26700303,2.262498835845014e-16,2.5672864746265006e-15,0.5611793611793612,0.4534261859874572,0.40754634,0.3493317
Kank3,8.200897,1.3973135,2.385999063763801e-16,2.7028581299887578e-15,0.1941031941031941,0.09149320918779577,0.11103268,0.043615986
Mical3,8.195554,0.32956943,2.4944209863874446e-16,2.8244876487244264e-15,0.8692874692874692,0.6634219537532222,0.96313065,0.82814425
Lrrc28,8.188112,0.26049852,2.653553584943412e-16,3.0034113238175856e-15,0.5567567567567567,0.44684698549497903,0.3985984,0.3427593
Cdin1,8.185866,0.30253917,2.703525301389871e-16,3.0573958269505827e-15,0.518918918918919,0.4189142395444577,0.38439342,0.3221214
Lman2l,8.182578,0.43297434,2.778339718149579e-16,3.140681036040353e-15,0.3965601965601966,0.3062213843253434,0.24507676,0.18707332
Ptpdc1,8.179608,0.44571242,2.8476875461008303e-16,3.215015309400391e-15,0.3670761670761671,0.27186333730906853,0.22710769,0.1715983
Mecr,8.155953,0.4292074,3.464365039938242e-16,3.898136039494999e-15,0.4358722358722359,0.34600438613366163,0.28117126,0.21602239
Kctd17,8.151029,0.5437155,3.6084284790345107e-16,4.058538017231364e-15,0.36068796068796066,0.27194028702243084,0.22617696,0.16050665
Sybu,8.148226,0.35756344,3.6930248702870733e-16,4.150212390824495e-15,0.8992628992628993,0.6850063483513524,1.1099687,0.9507724
Slc39a14,8.118078,0.493032,4.736232364280708e-16,5.313676978213888e-15,0.3769041769041769,0.2882921011119234,0.23285417,0.17083858
Ubr3,8.113402,0.3824891,4.922179235693826e-16,5.519989818993869e-15,0.9675675675675676,0.7776538032395829,1.3958863,1.2032477
Zfp932,8.106635,0.4908412,5.204088823053967e-16,5.8215598116344755e-15,0.3941031941031941,0.3077219037359086,0.25159737,0.18529709
Rprd1b,8.104874,0.33091986,5.280027399084357e-16,5.904050612292829e-15,0.46093366093366095,0.3688969258589512,0.30266634,0.24765198
Myo9a,8.099735,0.4246251,5.507882310693054e-16,6.153713001593446e-15,0.9754299754299754,0.7876957408333654,1.5538507,1.3293848
Plaa,8.096246,0.29678497,5.668121050983102e-16,6.327478713748066e-15,0.5179361179361179,0.42441614404986344,0.36398193,0.30558175
Vstm2l,8.094834,0.699295,5.734218743431051e-16,6.397146953762332e-15,0.27076167076167074,0.17290600592512792,0.16588001,0.10537112
Hipk3,8.094811,0.26578426,5.735291035211558e-16,6.397146953762332e-15,0.5498771498771499,0.4517332922934862,0.39950368,0.3424947
Gpr107,8.087258,0.2757409,6.102293546499082e-16,6.8036774935448275e-15,0.4933660933660934,0.39752221922973335,0.3238795,0.27455083
Rsf1,8.0869665,0.2567531,6.116916759363596e-16,6.81715277163417e-15,0.8452088452088452,0.6725404947866569,0.878272,0.77812946
Spata7,8.066046,0.2761452,7.261159411020051e-16,8.072294305920924e-15,0.6098280098280098,0.49220884152206534,0.4683262,0.40096274
Ctdsp2,8.055762,0.5282739,7.898525350630551e-16,8.76997422196045e-15,0.34594594594594597,0.25647339463660496,0.2159748,0.15456913
Glrx2,8.050568,0.34665263,8.241064704401847e-16,9.146526584356779e-15,0.4167076167076167,0.32645915893963295,0.26438662,0.21349025
Ncs1,8.036751,0.2767106,9.22522770466636e-16,1.0234594072022506e-14,0.48894348894348894,0.39709899580624064,0.32947752,0.2792467
Cog3,8.035007,0.34927508,9.357295968245783e-16,1.0376828009358819e-14,0.483046683046683,0.39740679465968987,0.331972,0.26930752
Slc43a2,8.033433,0.30574605,9.478243676891705e-16,1.0506617475168322e-14,0.47371007371007373,0.3808241314301104,0.32244903,0.26837477
Gm41804,8.031197,0.8114064,9.652646522770979e-16,1.0688699746488121e-14,0.3076167076167076,0.2193451579392867,0.21004646,0.12503536
Ntng1,8.031174,0.29235575,9.654437768785512e-16,1.0688699746488121e-14,0.7031941031941032,0.5591935670039629,1.0507662,0.9237403
Coq2,8.026264,0.41403967,1.0048539112432675e-15,1.1120438465859388e-14,0.38476658476658476,0.294255703897503,0.23368463,0.18029562
Cacna1h,8.013163,0.62293875,1.1179571990852738e-15,1.2336554389906081e-14,0.3253071253071253,0.23111846408372128,0.1959132,0.1314954
N4bp2l1,8.013062,0.31019726,1.1188760823777807e-15,1.23416257526646e-14,0.5105651105651106,0.4086414528105883,0.3517745,0.2926874
Rexo4,8.008657,0.5020854,1.1596763873020038e-15,1.2786419584244909e-14,0.371007371007371,0.2847908891539379,0.22465886,0.16369893
Uchl3,8.00558,0.2840483,1.1890473856206907e-15,1.3104882383768645e-14,0.5041769041769042,0.4072178831133854,0.34494314,0.29139644
Entr1,8.004543,0.46849015,1.1991105028020814e-15,1.321037277994749e-14,0.401965601965602,0.3156477242122273,0.25494844,0.190517
Csmd2,8.001268,0.455077,1.2314412338204994e-15,1.355543873525474e-14,0.9444717444717444,0.7065137932361202,1.4076252,1.1790664
Brms1l,7.9998713,0.27784845,1.2454929428315051e-15,1.370450261010751e-14,0.4800982800982801,0.3865184102189219,0.3127994,0.2646025
Zfr2,7.989613,0.45667878,1.3536293757922167e-15,1.4882169119286768e-14,0.42063882063882063,0.33326920857219805,0.26732272,0.20155829
Stam2,7.9881506,0.32816905,1.3697801138028863e-15,1.5047420955798675e-14,0.4668304668304668,0.3738601823708207,0.32299376,0.26519787
Ppp6c,7.983682,0.2935121,1.4203129884220398e-15,1.558342588766852e-14,0.4515970515970516,0.35973990996883537,0.29315102,0.24524716
Tnk2,7.974487,0.34983423,1.5301542198967628e-15,1.6761208270944157e-14,0.4781326781326781,0.3890962256165596,0.32271343,0.26148623
Rnft1,7.9738593,0.55366486,1.5379457288214243e-15,1.6839691007918364e-14,0.36068796068796066,0.27486437613019893,0.22735213,0.1603432
Dnai4,7.9704237,0.49003148,1.5813115268018354e-15,1.730042374803148e-14,0.40835380835380836,0.32318879612173446,0.27019674,0.19957253
Ak5,7.9676795,0.35441062,1.6168135741997614e-15,1.768163644230671e-14,0.8417690417690418,0.6557654572736716,1.1752833,1.0120975
Cluap1,7.962638,0.3643997,1.6840964924931848e-15,1.8402469602802712e-14,0.4624078624078624,0.37305221038051634,0.30756566,0.24665017
