names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CLA-EPd-CTX Car3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Dmtn,3.5874622,0.6449043,0.00033391203951377665,0.009647544625521696,0.6744186046511628,0.4201113305799964,0.43167275,0.29657322
Ewsr1,3.5865715,0.5686188,0.0003350541611271041,0.009670145337793005,0.872093023255814,0.627904471179745,0.8266932,0.6242967
Cntn2,3.5815287,0.712628,0.0003415896912963788,0.009848192065594097,0.47674418604651164,0.2628838211528102,0.30954173,0.19998443
Nup98,3.5808856,0.50684476,0.00034243142566578477,0.009861878250417616,0.8372093023255814,0.5953672113485365,0.72499216,0.5592172
Golga1,3.5774033,0.5533436,0.0003470246417332032,0.009983460517528018,0.7209302325581395,0.46317112587538156,0.47984904,0.3504112
Sanbr,3.5743494,0.5738932,0.00035109990366339103,0.01008989776624098,0.813953488372093,0.5566528999820435,0.6933732,0.5140828
Actn4,3.5738068,0.5057106,0.000351828464135773,0.010100032939453225,0.6395348837209303,0.39443347100017956,0.37529364,0.2782049
Magi3,3.5725276,0.597791,0.0003535520297204151,0.010138679870424284,0.8372093023255814,0.552953851678937,0.86256415,0.6443439
Rnf8,3.5712552,0.7216901,0.0003552744038013053,0.010177210266674919,0.5465116279069767,0.3304722571377267,0.32352772,0.20834376
Gm47352,3.5706391,3.044306,0.00035611121230434163,0.010190317651350011,0.2558139534883721,0.035158915424672296,0.14998107,0.019424923
Agpat5,3.568255,0.6001855,0.00035936669499552507,0.010272535206946551,0.6511627906976745,0.413862452864069,0.42758077,0.30155686
Shoc2,3.564826,0.4885399,0.0003640975593916424,0.01039670714224594,0.7209302325581395,0.4586819895852038,0.47549784,0.36041856
Gpatch8,3.564257,0.52751267,0.00036488857055232154,0.010408233429661231,0.9534883720930233,0.8014365236128569,1.578389,1.2999064
Pex7,3.5628505,0.6747725,0.0003668497273929997,0.010453077598144117,0.5348837209302325,0.3089603160351948,0.29499832,0.19469772
Exoc6,3.562549,0.60744107,0.00036727125544394883,0.010454002790020027,0.7906976744186046,0.5629017776979709,0.7165336,0.5232021
Rsu1,3.5610824,0.62346125,0.0003693291643782579,0.010490353749306331,0.6976744186046512,0.4549470281917759,0.5203545,0.3667932
Rasal1,3.5593076,0.6393303,0.0003718337424416579,0.010550340717431203,0.5813953488372093,0.3490752379242234,0.34413227,0.23405533
Slitrk5,3.5586782,0.6983907,0.00037272596737743366,0.010564500784210593,0.6511627906976745,0.43648769976656493,0.48032126,0.3220699
Ubap1,3.5580218,0.54891294,0.000373658290013375,0.010579766335784389,0.6046511627906976,0.35478541928532953,0.33146018,0.23793696
