names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sst Chodl Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Aff2,5.1688237,2.3848379,2.3557192084355968e-07,0.00011669542628351877,0.9,0.6027372720432804,1.88331,0.72632414
Nhs,5.1662297,2.8737142,2.388629864381665e-07,0.00011669542628351877,0.85,0.2697144495001971,1.1539496,0.25940487
Rasgef1b,5.15394,2.370185,2.5506931286398024e-07,0.00012238772208312764,0.9,0.5450180932248934,1.9036281,0.7440662
Tox,5.139126,2.7227094,2.760192756221299e-07,0.0001301164550169584,0.9,0.41374368528537137,1.8255298,0.5814701
Fndc1,5.1261706,3.7905672,2.956948284959509e-07,0.00013698827658079654,0.75,0.18021568557199671,0.9505556,0.108580366
Egfem1,5.0502687,2.1896815,4.4118937622844416e-07,0.00019722556674886118,0.95,0.7732793522267206,3.2602654,1.8706194
Adamtsl1,5.034719,2.5113525,4.785498224511534e-07,0.00020739731821391117,0.9,0.4107341191644871,1.5318494,0.4923121
Spock3,5.0242467,2.2902186,5.054126094362741e-07,0.00021556248913575692,0.95,0.5716384221274766,2.000832,0.8361517
Sntg2,5.0138574,2.802154,5.334957366359846e-07,0.00022398485067826415,0.8,0.23926050661029702,0.7954093,0.16062792
Maf,4.982162,2.6281724,6.287773443698491e-07,0.0002521678693017589,0.85,0.228297087169933,1.0436647,0.26048115
Lrrtm4,4.965337,1.7408935,6.858202082230214e-07,0.00026699809042314256,0.95,0.9204614668052022,4.2113953,3.0388546
Rab3b,4.9611335,3.3148096,7.008293728884015e-07,0.00026699809042314256,0.75,0.16896564078678658,0.77637273,0.1114858
Dpysl5,4.9600797,2.807179,7.046434086329979e-07,0.00026699809042314256,0.8,0.23736161370069148,0.7492691,0.14787652
Cpne4,4.9588866,2.4242156,7.089834114330601e-07,0.00026699809042314256,0.9,0.5451972340654222,1.9840984,0.774099
Rarb,4.9091315,3.5564628,9.148066803383503e-07,0.0003321737229823172,0.75,0.1973057217584465,1.0261921,0.14165448
Tmem117,4.8796,1.9915065,1.0630115876507841e-06,0.0003808416181356876,0.9,0.5190426713482139,1.271396,0.49789038
Klf5,4.8570876,2.9269755,1.191249528525617e-06,0.00042116940567741223,0.75,0.15026333703557737,0.55795985,0.09370573
Gm56999,4.7942934,2.7031913,1.63249024550571e-06,0.0005642425160251359,0.8,0.28608792232453156,0.8954517,0.20082645
Snrpn,4.78174,1.5838523,1.7378402048007056e-06,0.0005910856494049995,0.95,0.7013005625022393,1.6933804,0.90842533
Grip1,4.7679667,1.7173434,1.8609470342765952e-06,0.0006162128288052102,0.95,0.7805166421840851,2.6888459,1.643017
Klhl32,4.765858,2.3956397,1.8805155177531536e-06,0.0006162128288052102,0.85,0.517502060119666,1.4803194,0.4977747
Cdh4,4.7607536,2.5490022,1.928713992115947e-06,0.0006243921080500663,0.8,0.3196947440077389,1.0592873,0.27912936
Scn9a,4.7293634,3.5447886,2.2522471100512796e-06,0.0007204509505604511,0.7,0.19594425137042742,0.9174121,0.12112863
Pcdh7,4.7115254,1.943299,2.4586929079535487e-06,0.0007772362169024924,0.95,0.7854609293826806,2.8811374,1.682187
Gm1604a,4.690941,3.2592063,2.71951384569545e-06,0.0008460382165672925,0.75,0.25362760202070866,0.982989,0.16099106
Mirg,4.689457,1.8879663,2.739312424315387e-06,0.0008460382165672925,0.85,0.504424778761062,1.1472499,0.45791396
A330076H08Rik,4.6523795,1.5679052,3.2812616804311107e-06,0.0010019034244679993,0.9,0.6577335100856293,1.58023,0.8331883
Rims2,4.638939,1.3440446,3.5020285049338667e-06,0.0010572978194109326,0.95,0.8093583175092257,2.5546567,1.7359895
Synpr,4.6176467,2.1278822,3.881161375713804e-06,0.0011587422907269993,1.0,0.5461645946042779,1.9665263,0.878018
Runx1t1,4.5658665,1.7997788,4.97435408929738e-06,0.0014688010371364901,0.9,0.6094371394790584,1.8306612,0.9180696
Cers6,4.5412593,1.5769199,5.591919369483265e-06,0.0016332051462827754,0.9,0.6903013148937694,1.8024048,0.9923275
