names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG-IMN Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Spon1,38.59535,1.3652364,0.0,0.0,0.7498712004121587,0.45201110144567336,0.9631305,0.48783743
Rasgrf2,38.48756,1.383374,0.0,0.0,0.7514167954662545,0.4497742429891057,0.9920371,0.5010112
Carmil1,38.196922,1.2625476,0.0,0.0,0.7591447707367336,0.5154301810198417,0.92990506,0.4943884
Car12,38.168846,2.33218,0.0,0.0,0.5218959299330242,0.18155834472474214,0.45994824,0.109725095
Dscam,37.9586,1.068184,0.0,0.0,0.9077794951056156,0.7307899424216064,2.0546134,1.4457092
Mkx,37.89856,1.9185065,0.0,0.0,0.5710973724884081,0.23201192991176836,0.5526473,0.17829865
Slc8a2,37.793476,1.5437287,0.0,0.0,0.6383307573415765,0.3569860403462988,0.5881918,0.24267061
Syne1,37.76995,0.8640412,0.0,0.0,0.9121586810922205,0.8023279897270205,2.019194,1.5236382
Cdon,37.609173,1.5641538,1.522149906866477e-309,1.9569458372010644e-307,0.645801133436373,0.3677146762768734,0.64355034,0.26654688
Rtn1,37.599476,0.6799123,2.192568514789766e-309,2.805443618685762e-307,0.9685729005667182,0.8945776894080609,2.2039945,1.7970318
Wasf1,37.57573,0.99872947,5.35584752337957e-309,6.820456064133131e-307,0.878413189077795,0.6907336067271447,1.4724268,0.98633426
Arhgap20,37.494698,1.2464939,1.1238604478935299e-307,1.424440105419771e-305,0.735445646573931,0.4971625036245392,0.83761907,0.4398587
Sntb2,37.258347,1.3738439,7.76283482962408e-304,9.747073451962572e-302,0.7189592993302422,0.45598773870179365,0.8547067,0.41948417
Tnr,37.152264,0.99573404,4.030158626962741e-302,5.03676103751111e-300,0.8987635239567233,0.7108239095315024,1.819532,1.2787485
Baiap2,37.023266,1.1824648,4.837301260878219e-300,5.989782713354735e-298,0.7452344152498712,0.5021747234994408,0.8259041,0.44833556
Stox2,36.906918,0.9233913,3.5792026374943645e-298,4.391469172122081e-296,0.8670788253477589,0.7270618449939936,1.4545767,1.0046144
Gm46123,36.90003,2.2545342,4.616549854895696e-298,5.638486118229424e-296,0.5077279752704791,0.18296673708628475,0.39101803,0.095558606
Fgf14,36.859955,0.7586616,2.0257921884196775e-297,2.4630333078206666e-295,0.970118495620814,0.9166148875357276,3.508475,3.00311
Rasgrf1,36.7285,0.9642726,2.5630254961153887e-295,3.1021844630910133e-293,0.8923235445646573,0.7256120293276997,1.6989403,1.1909151
Col25a1,36.721775,1.2961097,3.2815008134749174e-295,3.953987751483006e-293,0.7135497166409067,0.4084337848473551,0.9066953,0.47069857
Pcsk5,36.67848,1.3263725,1.609429019430376e-294,1.930596328218491e-292,0.7429160226687275,0.41671844579760575,0.9730996,0.5046642
Ncdn,36.64114,1.4348116,6.332779395335606e-294,7.562745882340788e-292,0.6844410097887687,0.41866534112091464,0.80908465,0.37900764
Rph3a,36.621155,1.3876338,1.3176093129731295e-293,1.5665558513092029e-291,0.6774858320453374,0.37910608508346794,0.704514,0.32997185
Sipa1l2,36.61891,1.7361729,1.4303443803697738e-293,1.6930992731513577e-291,0.5646573930963421,0.2429891056708504,0.50282454,0.17908578
Cacnb2,36.59749,1.1392493,3.1356140721724863e-293,3.695348689441873e-291,0.9242658423493045,0.7574251273766621,2.3066938,1.6301502
Adamts3,36.581486,1.3964219,5.633889526779497e-293,6.610594392339087e-291,0.6823802163833076,0.4031316018391947,0.7402605,0.3482031
Tspan18,36.53698,2.6051435,2.8707885870836435e-292,3.339311226620671e-290,0.4631633178773828,0.11855349819808625,0.3923526,0.076001495
Sipa1l3,36.41332,1.1804729,2.6205289545622374e-290,3.0350695262537635e-288,0.7516743946419372,0.4985708959860818,0.8597872,0.4707613
Ptchd4,36.33589,1.303663,4.389333338363072e-289,5.0618620944985295e-287,0.7511591962905718,0.4230976347292987,0.9988055,0.52753913
Spock3,36.27377,1.2411816,4.1942242451766776e-288,4.795693849697759e-286,0.8323029366306027,0.5290998715877553,1.3074481,0.7611759
Nhsl2,36.224724,1.2969962,2.484962401092743e-287,2.8292771066678815e-285,0.7022153529108707,0.45631912513980366,0.78654313,0.39652878
Shisa6,36.21366,1.2793479,3.7111155688190535e-287,4.2074968495429525e-285,0.8758371973209685,0.5747897767283874,1.5893974,0.9582223
Rasa1,36.184753,1.0056895,1.0575662836663152e-286,1.1889877005068572e-284,0.8263781555899021,0.6516300070419618,1.1664878,0.74241346
Ptpre,36.17192,1.1398884,1.683032659127765e-286,1.884295314615127e-284,0.7612055641421948,0.5078497162503625,0.8630132,0.48355508
Pitpnc1,36.136467,1.141144,6.069643334787088e-286,6.739310595278061e-284,0.7697063369397218,0.464230976347293,0.9700473,0.555437
Il1rapl1,36.034294,0.78753316,2.4301939417733152e-284,2.6872144533106574e-282,0.9665121071612571,0.9175676235450064,3.3048356,2.7852626
Ppp1r13b,36.007507,1.1041061,6.382532893541122e-284,7.028633559403686e-282,0.7599175682637815,0.5463319663642765,0.87759274,0.50297993
Plekha2,35.98891,2.5677254,1.2472119229061815e-283,1.3678605864689427e-281,0.4469345698093766,0.09912596826974857,0.36475545,0.07161529
Gria2,35.853737,0.7091947,1.6081869699083803e-281,1.7565847106275684e-279,0.9775888717156105,0.911768360879831,3.0569255,2.5947716
Gfod1,35.82492,1.1288111,4.521091410209735e-281,4.918288509811157e-279,0.7462648119526017,0.5268215898264363,0.85658646,0.4822288
Nkain3,35.81103,1.2121669,7.438068976209919e-281,8.058907798014538e-279,0.8778979907264297,0.6354749181889732,1.7497039,1.1156179
Abr,35.757,0.90752405,5.150172027915554e-280,5.5354048956036376e-278,0.8495620814013395,0.6832359885671679,1.274179,0.8642131
Diaph2,35.752403,0.8831951,6.070730622727226e-280,6.498825969429504e-278,0.881246780010304,0.7534070668157906,1.6749673,1.2096304
Syt17,35.60676,1.308281,1.1010786036694685e-277,1.1694064063477714e-275,0.6852138073158166,0.3977465722215318,0.7044993,0.34573108
Agap1,35.568996,0.9163113,4.2260499161853266e-277,4.4706283955866035e-275,0.8500772797527048,0.6834431050909242,1.2748075,0.86119527
Ntf3,35.398624,2.6169043,1.7927393250491778e-274,1.8598805275703247e-272,0.44899536321483774,0.11760076218880743,0.34847555,0.06575293
Ptprj,35.389015,0.91780627,2.519772399621904e-274,2.6040878606861755e-272,0.8531684698608965,0.6890766745370945,1.3653109,0.9337294
Gm28376,35.28011,2.0793417,1.185430507564573e-272,1.2204029784773975e-270,0.5203503348789283,0.22389296218052276,0.44349834,0.12404817
Cap2,35.24389,1.034866,4.256130119511068e-272,4.364970088216122e-270,0.8238021638330757,0.6015078082929456,1.1708843,0.7351823
Dpyd,35.126186,1.158566,2.6856381097071095e-270,2.733450606357198e-268,0.8642452344152499,0.6153431920798641,1.5435872,0.9742129
Rapgefl1,35.084007,1.2252206,1.1820068001741337e-269,1.1985102913463762e-267,0.6924265842349304,0.45793463402510254,0.69252425,0.3557138
Lrfn5,34.96279,0.86427516,8.277366959259838e-268,8.361385345688416e-266,0.9453889747552808,0.8434613313450147,2.753294,2.2051764
Kbtbd11,34.94438,1.807519,1.5760430500673972e-267,1.5860777810977886e-265,0.5350334878928388,0.23660991673915746,0.45788985,0.15349783
Ankrd6,34.80997,1.5727065,1.7186856361557553e-265,1.7167688863756557e-263,0.580370942812983,0.291040139182304,0.5079072,0.20088576
Pcdh19,34.792442,1.2343841,3.164471569362123e-265,3.1492352247688982e-263,0.7210200927357032,0.4771136241249327,0.87974226,0.46962935
Ncam2,34.254826,0.96871,3.696186205912624e-257,3.624690633316504e-255,0.9435857805255023,0.8453668033635724,2.604729,2.0016243
Gnal,34.236786,1.40661,6.85966705313683e-257,6.702518317010422e-255,0.6321483771251932,0.36933018516217225,0.619718,0.28049648
Pakap,34.14064,0.96346104,1.8412923619705158e-255,1.7861200637598468e-253,0.8199381761978362,0.6385816660453171,1.2186207,0.798324
Gfra1,33.946716,1.6128281,1.363789347302647e-252,1.3181661784900047e-250,0.5473982483256054,0.23342032227331097,0.5114098,0.19744775
