names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Neuroblast (for_DEGs),mean_expr_Rest (for_DEGs)
Fam120b,-4.340724,-0.4635726,1.420139385092398e-05,0.00025818095586896303,0.21830985915492956,0.5144168698895424,0.32187083,0.42107487
Cdh6,-4.3440776,-1.6453357,1.3986200489789297e-05,0.0002544408985515494,0.06338028169014084,0.2844642088652991,0.08657669,0.24912265
Ppm1k,-4.346246,-0.78391665,1.3848734653236793e-05,0.00025211077244747463,0.1056338028169014,0.34464208865299095,0.13834593,0.22750874
Rnf19a,-4.3469944,-0.60535663,1.3801564503516613e-05,0.00025142239878609584,0.20422535211267606,0.4827141012767178,0.27586725,0.39426315
9130024F11Rik,-4.347005,-2.6208107,1.3800910442813927e-05,0.00025142239878609584,0.02112676056338028,0.23637211303973604,0.029915018,0.17124824
Zcchc2,-4.34713,-1.1550987,1.379306402009541e-05,0.00025142239878609584,0.06338028169014084,0.29048916941615266,0.08189595,0.1740015
Plaa,-4.3474107,-0.5958441,1.3775425123666541e-05,0.00025142239878609584,0.16901408450704225,0.43254195954669344,0.21570356,0.3103012
Mon2,-4.34844,-0.5502383,1.3710933070871257e-05,0.0002504505585413397,0.2746478873239437,0.5898364653564768,0.406342,0.55048376
Naf1,-4.3493447,-1.4142197,1.365449607931607e-05,0.000249607078251729,0.04225352112676056,0.2631258069143595,0.059506636,0.15135385
Cab39l,-4.3503847,-0.69214696,1.3589899706300484e-05,0.00024874700620455993,0.1267605633802817,0.3730454741070148,0.17143942,0.26401907
Hdlbp,-4.3509045,-0.6641404,1.3557710934454984e-05,0.00024832698896305754,0.2112676056338028,0.49759718835174294,0.27174264,0.40199125
Scn1b,-4.351196,-0.8927911,1.3539717002849309e-05,0.0002481665728966991,0.11971830985915492,0.3617486730741644,0.16071098,0.28044495
Serinc5,-4.3543935,-0.64679164,1.3343598067955088e-05,0.00024473889425662333,0.176056338028169,0.4390331372830297,0.24179158,0.35645592
Pus7,-4.3548923,-0.44354364,1.3313229976225015e-05,0.00024434869498713536,0.1267605633802817,0.38193946349160807,0.18996449,0.25037622
Leng8,-4.356577,-0.45206758,1.3211223692419057e-05,0.00024297438782703632,0.19718309859154928,0.4780519294218907,0.28168052,0.36816823
Clpb,-4.357144,-0.57976764,1.3177074696791298e-05,0.00024251232678272752,0.16901408450704225,0.43462200545115476,0.21974054,0.31284273
Zfp933,-4.3578143,-0.89329445,1.313676863378842e-05,0.000241936239335089,0.07746478873239436,0.3101061540668484,0.10341817,0.18429829
Epn1,-4.3619375,-0.93256277,1.2891567755193813e-05,0.0002375832822922207,0.08450704225352113,0.31727872615119784,0.12057601,0.2188049
Extl3,-4.363695,-0.6906115,1.278838862471286e-05,0.00023584351568018842,0.14788732394366197,0.40263233395495623,0.20284769,0.3096577
Pank2,-4.364849,-0.4894985,1.2721049310670167e-05,0.00023476277127589793,0.176056338028169,0.4534500071725721,0.2524602,0.33875525
Kras,-4.364917,-0.5750039,1.2717116521953684e-05,0.00023476277127589793,0.18309859154929578,0.45918806484005165,0.25221384,0.35581714
Kcnh3,-4.366253,-3.127819,1.2639606068028057e-05,0.0002335806155762819,0.014084507042253521,0.2289843637928561,0.015422418,0.12738517
Zfp672,-4.3664556,-0.98289967,1.262788324740097e-05,0.00023352458558683007,0.07746478873239436,0.31007029120642665,0.09875185,0.18659465
Gpr162,-4.3683953,-0.8675396,1.2516287855983304e-05,0.00023162028559936044,0.09859154929577464,0.33786400803328076,0.12642445,0.21984474
Abcc4,-4.3696327,-3.0461886,1.2445574687234505e-05,0.00023047042856374304,0.014084507042253521,0.22902022665327787,0.018313527,0.14207952
Ptprn2,-4.369846,-0.6176409,1.2433431565097966e-05,0.0002304043490718499,0.6549295774647887,0.7632692583560465,1.2689131,1.5939846
Wwc1,-4.370023,-0.5906505,1.2423370235097665e-05,0.00023037678275850536,0.18309859154929578,0.454884521589442,0.26672387,0.37866277
Chm,-4.370423,-0.6591354,1.240061299579801e-05,0.00023011358508086502,0.2887323943661972,0.6149404676516999,0.43209445,0.6170723
Dennd2b,-4.3709583,-0.9749748,1.237023368404856e-05,0.00022970848589522102,0.09154929577464789,0.3272844642088653,0.124588445,0.23174724
Pstk,-4.371629,-0.7271673,1.2332285975583735e-05,0.0002291621882184889,0.11971830985915492,0.36784535934586143,0.15101016,0.23889297
Zfp329,-4.371816,-0.7049583,1.2321715760049896e-05,0.00022912422316438805,0.11971830985915492,0.36809639936881366,0.15292545,0.2385086
Syn1,-4.3762255,-0.7610653,1.2075214486460325e-05,0.00022485170703478096,0.34507042253521125,0.6475398077750681,0.4971508,0.7378666
Rnft1,-4.3801355,-1.2562228,1.1860562646588811e-05,0.00022100784903872494,0.056338028169014086,0.28224071151915076,0.07272665,0.16567954
Senp5,-4.3806915,-0.6403706,1.1830318005822506e-05,0.00022059725525083328,0.2605633802816901,0.562293788552575,0.35321075,0.5070152
Ola1,-4.3807955,-0.6994467,1.1824672973489393e-05,0.00022059725525083328,0.2746478873239437,0.5804045330655573,0.37157997,0.54857594
Eif4e,-4.38144,-0.64212465,1.17897311146934e-05,0.00022029907861739338,0.2112676056338028,0.49799167981638215,0.2702295,0.39488202
Dstyk,-4.382194,-0.6679128,1.1748996681089912e-05,0.0002196907034244161,0.16901408450704225,0.4363075598909769,0.21646333,0.32495672
Clybl,-4.3827767,-0.933437,1.1717624833213977e-05,0.00021925667079976293,0.07746478873239436,0.3101061540668484,0.12014061,0.21817073
Gm39469,-4.3838167,-0.7221041,1.1661802444775147e-05,0.00021836420326906494,0.09859154929577464,0.34051785970449006,0.13390523,0.21217152
Zfp40,-4.3848457,-0.62553525,1.1606788381756054e-05,0.00021748563725089624,0.176056338028169,0.44925405250322764,0.2294157,0.3349213
Stk40,-4.3851995,-2.1706426,1.1587951876911613e-05,0.00021728420581480464,0.028169014084507043,0.24716683402668196,0.032831937,0.13999727
Dkk3,-4.386421,-0.8789929,1.1523079547807795e-05,0.00021621867838658902,0.11971830985915492,0.36400803328073444,0.1753128,0.3018848
Slc25a12,-4.3874354,-0.7375111,1.1469512639411552e-05,0.00021536394452899258,0.3380281690140845,0.6580117630182183,0.4925206,0.7232529
Lgi1,-4.3877263,-0.8134108,1.1454173309121639e-05,0.00021522631945181708,0.3732394366197183,0.6699540955386601,0.5699468,0.85439646
Dalrd3,-4.38925,-0.95063674,1.1374234493477555e-05,0.0002138738144434863,0.09859154929577464,0.3367881222206283,0.123745985,0.2268129
Zkscan16,-4.3895464,-0.9154087,1.1358745261917973e-05,0.0002137321324844089,0.09859154929577464,0.33743365370821976,0.118746854,0.21334314
Esrrg,-4.394423,-0.7691529,1.1106726271103443e-05,0.00020913646454418327,0.24647887323943662,0.5267895567350452,0.3822933,0.5842122
Fbxl16,-4.397288,-0.9514844,1.0961183662201244e-05,0.00020654067672044,0.11267605633802817,0.3542533352460192,0.1342386,0.24516286
Ptchd4,-4.3974075,-1.0649989,1.0955148146225047e-05,0.00020654067672044,0.23943661971830985,0.46966002008320185,0.32774532,0.5941096
Kpnb1,-4.4012084,-0.64414465,1.0764968298178601e-05,0.00020327104579905762,0.16901408450704225,0.4341557882656721,0.21799405,0.32256803
Tmem191,-4.402909,-1.0922384,1.0680918946953223e-05,0.00020182580316781512,0.07042253521126761,0.30243150193659446,0.09050716,0.1839598
Acss2,-4.40308,-0.7175683,1.0672471797208967e-05,0.00020180810499015127,0.16901408450704225,0.43232678238416294,0.2104308,0.32579795
Srp72,-4.4031944,-0.81286836,1.0666843908337045e-05,0.00020180810499015127,0.1056338028169014,0.34880218046191364,0.14221029,0.23780178
Dcun1d5,-4.405633,-0.55062395,1.0547539523900344e-05,0.00019972684073798607,0.1619718309859155,0.4296370678525319,0.22268707,0.3114069
Cttn,-4.406548,-0.74178666,1.0503098247806017e-05,0.00019902556411745254,0.09154929577464789,0.33072729880935303,0.128654,0.20668365
Trim3,-4.406652,-0.99789727,1.0498059431862028e-05,0.00019902556411745254,0.07042253521126761,0.302072873332377,0.095457956,0.18234932
Iqce,-4.4072394,-0.6762188,1.0469633459487955e-05,0.00019867164622630037,0.11971830985915492,0.370463348156649,0.1556849,0.23837669
Rragb,-4.408077,-0.5905487,1.0429259674574972e-05,0.00019804537629387244,0.16901408450704225,0.4411490460479128,0.2332087,0.33325002
Cdc42se2,-4.4093037,-0.6997049,1.037034682772936e-05,0.00019706592592721916,0.2746478873239437,0.5795796872758571,0.37681347,0.5557651
Rab6a,-4.4093194,-0.70368284,1.0369599985195172e-05,0.00019706592592721916,0.323943661971831,0.6511260938172428,0.47643715,0.6901508
A830036E02Rik,-4.4108014,-3.787292,1.029888368549299e-05,0.00019598513075722143,0.007042253521126761,0.22278008893989384,0.011602997,0.14939523
Cltb,-4.4114146,-0.90933526,1.0269739678764085e-05,0.00019556903272033378,0.09154929577464789,0.3295079615550136,0.12350258,0.22065452
Hacd1,-4.41442,-0.54276717,1.0128117586424767e-05,0.00019300887911151312,0.13380281690140844,0.3922679672930713,0.19943973,0.27879432
Helq,-4.418777,-1.1006072,9.92609839347796e-06,0.00018929330293311058,0.056338028169014086,0.28571940898006026,0.07869745,0.16176236
Cntn6,-4.420238,-1.2063458,9.859222807782845e-06,0.00018815150344113997,0.176056338028169,0.40933868885382296,0.26294225,0.52708834
Unc5d,-4.4205813,-0.81599396,9.843577903232234e-06,0.00018798645221027016,0.4295774647887324,0.6386816812508965,0.8401494,1.1993897
AI593442,-4.4209037,-1.2947636,9.828902777706217e-06,0.0001878396995995491,0.08450704225352113,0.31727872615119784,0.09866432,0.22666037
Plekha7,-4.4220004,-1.4497067,9.77911643000329e-06,0.00018702125158305227,0.07042253521126761,0.2990603930569502,0.08227428,0.21045375
Rusc2,-4.4221253,-0.9228956,9.77346881000722e-06,0.00018702125158305227,0.08450704225352113,0.3219767608664467,0.11192443,0.2025578
Inka2,-4.4222608,-1.4009835,9.767354070803018e-06,0.00018702125158305227,0.04225352112676056,0.2671424472815952,0.06473838,0.16264367
Gm32014,-4.4226503,-2.0653555,9.749735867655489e-06,0.0001868583471925128,0.035211267605633804,0.25731602352603644,0.03895904,0.15381588
Nsun7,-4.423056,-0.7617794,9.731445140077099e-06,0.00018664092142317747,0.1267605633802817,0.3801463204705207,0.17448206,0.28007343
