names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT AON-TT-DP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Dlx1as,-2.5561934,-2.1619618,0.010582427215563453,0.04779791885731887,0.0297029702970297,0.13354250063110823,0.023012549,0.0991036
Rpf2,-2.556224,-0.9167195,0.010581494990624916,0.04779791885731887,0.04950495049504951,0.15301669732049478,0.045014255,0.08334829
Cfap74,-2.5568898,-0.63882,0.01056127039654469,0.04772642710312072,0.09900990099009901,0.2044790652385589,0.07669981,0.11700522
Nectin1,-2.5588558,-0.647806,0.01050172865525788,0.0474733258692428,0.12871287128712872,0.2326445237837643,0.094723836,0.14467885
Mta1,-2.5591362,-0.6949353,0.010493265997267097,0.047443051883992414,0.09405940594059406,0.1964369432723863,0.06668994,0.10583605
Atp10a,-2.5592325,-1.6806058,0.010490358360040948,0.04743788777083478,0.0594059405940594,0.16235709906595983,0.04020366,0.12354742
Gabbr2,-2.5593724,-0.37790963,0.010486130349030958,0.04742675012261603,0.46534653465346537,0.7290562227271088,0.9640224,1.1339843
Gm35188,-2.5594864,-1.1283185,0.01048269620640397,0.04741919984277351,0.07425742574257425,0.17743156983663314,0.055444986,0.11745218
Micall1,-2.5602221,-1.7560177,0.010460530471179206,0.04734284213585738,0.06435643564356436,0.1652782285693678,0.034180336,0.111044705
Kbtbd2,-2.5605373,-0.8974934,0.010451043642227511,0.04730787443845236,0.10891089108910891,0.20978037433733637,0.066693895,0.12086793
Sc5d,-2.5612905,-0.41552803,0.010428411640565885,0.04721338176613401,0.13366336633663367,0.23343791698222077,0.10737563,0.1407945
Plch1,-2.5617766,-1.4039266,0.010413829266002355,0.04715768517830343,0.054455445544554455,0.15788524649284144,0.0474028,0.120852366
Zfp248,-2.5621443,-0.91113544,0.010402806018763646,0.04712127406004369,0.09900990099009901,0.1980237296692993,0.05778527,0.10604114
Kcns3,-2.5621839,-2.1685572,0.010401625572579423,0.04712127406004369,0.024752475247524754,0.12896245807638212,0.017211206,0.075150855
Zdhhc15,-2.5635762,-0.65585595,0.01035999290661884,0.04695108945873641,0.07920792079207921,0.18143459915611815,0.06411455,0.09923389
Mcmdc2,-2.5636725,-1.5445114,0.010357118151210641,0.0469459792042898,0.054455445544554455,0.15640665007753615,0.027905613,0.07931813
Ptdss2,-2.5638871,-0.7206678,0.010350717838072985,0.04692488414189659,0.10396039603960396,0.2076165747051823,0.0709268,0.11433562
Crls1,-2.5648155,-0.57920116,0.010323067226371135,0.04680742767002909,0.12871287128712872,0.22755959464820225,0.09050949,0.13237056
Tfe3,-2.5651221,-1.2134246,0.010313951754748004,0.046773988801701076,0.06435643564356436,0.16787478812795267,0.03985641,0.09010445
Zfp606,-2.566335,-1.4782217,0.010277950754277988,0.0466264623953148,0.06930693069306931,0.17176962746583,0.034914482,0.09439293
Cables1,-2.56644,-1.143656,0.010274836805540272,0.046620206849859354,0.12376237623762376,0.21998629593566302,0.07440887,0.15757602
Crat,-2.566672,-1.383442,0.010267963143396622,0.046596887293205075,0.06435643564356436,0.1667568249846731,0.033958655,0.0862843
Filip1,-2.5690587,-0.29720953,0.010197518233583664,0.04629283915127438,0.13861386138613863,0.245014245014245,0.12733436,0.15431865
Mtarc2,-2.5694528,-0.7963971,0.010185926612912009,0.046248031106614684,0.08415841584158416,0.18857513794222655,0.07185917,0.121682644
Tdrkh,-2.570924,-0.6659138,0.010142754807233026,0.046083162270942064,0.09405940594059406,0.19715820981643767,0.06847248,0.10655787
Ttl,-2.573039,-0.36728135,0.010080980762646047,0.045817989359319904,0.10396039603960396,0.20631829492588985,0.08976782,0.11435444
Arhgap6,-2.5736873,-0.7323363,0.010062119246083622,0.045740000700772616,0.1485148514851485,0.2560496231382307,0.14918764,0.23688217
U2af2,-2.5744097,-0.4775073,0.010041128259247514,0.045652303946866445,0.1188118811881188,0.2213567023693606,0.09618589,0.1315327
Hgs,-2.5749614,-1.4390278,0.010025125049421105,0.04558725843255121,0.04455445544554455,0.1482202748025533,0.029305553,0.07754815
Gatb,-2.575811,-0.44689608,0.01000052959793439,0.04549081264542019,0.10891089108910891,0.21439648021926502,0.089344196,0.11990656
Zfp341,-2.577081,-0.2886693,0.009963863417845794,0.04533937511219585,0.12376237623762376,0.22846117782826644,0.10271644,0.12410932
Clcn2,-2.5775976,-0.6790917,0.009948978384185389,0.045279310498486006,0.0891089108910891,0.19304699051534494,0.06728779,0.10565984
Gstcd,-2.5776415,-1.3380871,0.009947717851596191,0.045279310498486006,0.09405940594059406,0.19189296404486278,0.045826748,0.11203599
Dgkq,-2.5778997,-1.239178,0.009940283604809346,0.04526273859705595,0.0891089108910891,0.19113563417360885,0.042628463,0.09785796
Dchs2,-2.5788238,-1.4110731,0.00991373720576746,0.04514951164728333,0.06435643564356436,0.16960582783367595,0.045292802,0.11619844
Zbtb40,-2.580076,-2.7522283,0.00987785571123314,0.04500135350302382,0.039603960396039604,0.14248620577734503,0.011634447,0.075891726
