names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Mapk1,-4.5758843,-1.4555749,4.7421285164474e-06,0.0008910558967618296,0.3488372093023256,0.7097927090779128,0.4190096,0.8868355
Cbfa2t2,-4.5846753,-2.0003834,4.546920619589296e-06,0.0008654170810863244,0.20930232558139536,0.6040743388134382,0.18609214,0.59792876
Fut9,-4.5860434,-1.5064553,4.517250966896846e-06,0.0008654170810863244,0.37209302325581395,0.7495353824160115,0.60263556,1.2087798
Tle1,-4.586081,-2.947819,4.516435128321574e-06,0.0008654170810863244,0.11627906976744186,0.4972480343102216,0.07281724,0.4592003
Tmem245,-4.595212,-2.104775,4.323098228305485e-06,0.0008417510825693361,0.13953488372093023,0.5321658327376698,0.12843755,0.4634173
Tafa1,-4.607267,-1.9178407,4.0799620755730556e-06,0.0008002086202237081,0.4418604651162791,0.7909578270192995,0.9428827,1.9347613
Peak1,-4.6087103,-2.0118842,4.0517482986724e-06,0.0008002086202237081,0.20930232558139536,0.5822373123659756,0.20958273,0.6628773
Erc2,-4.608965,-1.1965492,4.046788846172844e-06,0.0008002086202237081,0.6744186046511628,0.8468906361686919,1.593727,2.3014832
Atp9b,-4.6399984,-1.5352434,3.484117738141948e-06,0.0006986436091333891,0.3488372093023256,0.7256611865618299,0.4457814,0.96623737
Cntn5,-4.641281,-1.9261636,3.4625534917905008e-06,0.0006986436091333891,0.4418604651162791,0.7665475339528235,0.8570782,1.817173
Kif16b,-4.6452994,-2.7213905,3.395831835315829e-06,0.0006912575864767903,0.11627906976744186,0.5154395997140815,0.082043625,0.44718385
Thsd7b,-4.6462054,-2.241735,3.3809671133286966e-06,0.0006912575864767903,0.11627906976744186,0.5553967119370979,0.24821176,0.84693664
Eri3,-4.667627,-2.0669155,3.046985116099726e-06,0.0006297883851507665,0.20930232558139536,0.5986061472480343,0.16849919,0.5703928
Grm3,-4.6684003,-2.3977106,3.0355385062694023e-06,0.0006297883851507665,0.18604651162790697,0.5770550393137955,0.25095302,0.9175554
Zbtb16,-4.6747956,-2.2671757,2.9424623556651726e-06,0.0006176872148181499,0.23255813953488372,0.5786990707648321,0.18344778,0.6776615
Nrg3,-4.6798987,-0.91512924,2.870163924779657e-06,0.0006072543673923574,0.9302325581395349,0.9477841315225161,3.000943,3.6116278
Fars2,-4.681889,-1.647883,2.84243082582822e-06,0.000606159653095272,0.3023255813953488,0.679771265189421,0.32744008,0.79482156
6530403H02Rik,-4.685417,-3.5840695,2.7939041852246567e-06,0.0006005776436558923,0.046511627906976744,0.4619013581129378,0.07281071,0.6448795
Cmip,-4.686964,-1.5781509,2.772876766114498e-06,0.0006005776436558923,0.32558139534883723,0.6939599714081487,0.36298215,0.8357951
