names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_rest (for_DEGs),mean_expr_Rest (for_DEGs)
Yeats4,-6.8859606,0.5084224,5.739888397278765e-12,1.5413831824393408e-11,0.03683825323249573,0.10766080160488152,0.07670138,0.054528095
Cisd3,-6.8967566,0.2693161,5.3203277123930995e-12,1.429143313326028e-11,0.029519394974383995,0.0995110126635182,0.057648893,0.04806382
Mdh2,-6.9013762,1.3455346,5.150118235573162e-12,1.3835600578869313e-11,0.1700414735301293,0.2817319346345133,0.37788197,0.16610365
Maf1,-6.9029713,0.2839806,5.092590737271328e-12,1.3683791311048058e-11,0.03269090021956575,0.10302169097672086,0.0640944,0.052939426
Ccdc85b,-6.916406,1.3092631,4.632451934120897e-12,1.2451133687088977e-11,0.1388143449621859,0.2370543737200652,0.30852288,0.13613746
Pgls,-6.920195,0.5976691,4.510216867877841e-12,1.2123802244885712e-11,0.042205415955111,0.11409704517908639,0.08937366,0.059946414
Mesd,-6.9205837,0.83353,4.497860181145383e-12,1.2093006110403886e-11,0.0670895340326909,0.14301834747356543,0.13399696,0.07739024
Ndrg2,-6.927805,0.50028825,4.2742103161531264e-12,1.1497450314849786e-11,0.09587704318126372,0.17653696660676224,0.19505651,0.14173038
Tceal5,-6.969856,1.3375211,3.1726599781760685e-12,8.548874209144701e-12,0.12637228592339594,0.2202532703640239,0.282373,0.12142671
Arhgdia,-6.9805484,1.0755359,2.9403035219374186e-12,7.927549230830669e-12,0.09246157599414491,0.17540853429180422,0.19943973,0.0996009
Ccdc32,-6.9825354,0.6473621,2.8990017554937037e-12,7.816977136991052e-12,0.03805806294218102,0.11012663518201195,0.08197324,0.05310503
Dcn,-6.991922,0.39292338,2.711459390104807e-12,7.314216826836277e-12,0.05171993169065626,0.12571571864420947,0.11810442,0.09118661
Pnck,-7.0046797,0.845329,2.47551600801534e-12,6.681779521383445e-12,0.05367162722615272,0.12834872737911146,0.11284103,0.06436934
Atp5pb,-7.022192,1.2096152,2.1841432713259306e-12,5.9036243537398406e-12,0.2915345206147841,0.4889455426923559,0.6793836,0.3510533
Mrpl32,-7.038348,0.5704496,1.9453227580439146e-12,5.2633997088550995e-12,0.041717492071236886,0.11472395202072971,0.08606678,0.05876427
Psmc4,-7.04008,0.8910987,1.9212927206537767e-12,5.198905881567672e-12,0.05757501829714565,0.1334893634805868,0.12299669,0.06819243
Dnttip2,-7.0732784,0.3094915,1.5131542025518242e-12,4.102770274729315e-12,0.033910709929251034,0.10611443139549463,0.067120634,0.054507498
Mapk3,-7.082143,0.83183086,1.4194239254724e-12,3.851350184534322e-12,0.07050500121980971,0.14899485936389853,0.14905319,0.086455904
Ndufab1,-7.094634,1.3292558,1.296941674045853e-12,3.5204387091233526e-12,0.1649182727494511,0.27588080411250887,0.37212697,0.16501707
Scd2,-7.1003246,0.78698695,1.2446425638662099e-12,3.3795013834968734e-12,0.34496218589899974,0.5774229949429515,0.8238852,0.5547157
Commd8,-7.1055574,0.5017835,1.1983786845800634e-12,3.255199682032582e-12,0.049036350329348624,0.12362602917206503,0.096527,0.069124155
Insyn1,-7.109967,0.73872507,1.160706417381875e-12,3.1538256077511355e-12,0.044645035374481584,0.1189033309650186,0.09147991,0.05581946
Jagn1,-7.1197286,0.46505904,1.081397124586586e-12,2.940113400550598e-12,0.036106367406684554,0.10908179044593973,0.075187795,0.055027045
Rbmxl1,-7.130467,0.56748456,1.000288759186204e-12,2.720696321422543e-12,0.04000975847767748,0.11363731349521461,0.08178444,0.055914365
Gid8,-7.130737,0.37803262,9.983317507643531e-13,2.715648323854846e-12,0.03635032934862162,0.10945793455092573,0.0714756,0.05544675
Thoc3,-7.1382847,0.4943968,9.450284088859994e-13,2.571955165275681e-12,0.03635032934862162,0.1096251097086973,0.0739212,0.053030472
Eif3i,-7.1400595,0.96098036,9.329053190393097e-13,2.53947583047171e-12,0.06367406684557209,0.14180632757972164,0.14049375,0.07463308
Nedd8,-7.1434464,1.2846442,9.101942855250986e-13,2.4781558873299623e-12,0.18150768480117102,0.30108245914657084,0.4087662,0.18836312
Nptxr,-7.1480474,1.2980348,8.802103207805296e-13,2.3970053024600014e-12,0.25811173456940717,0.4310611443139549,0.6234518,0.3015276
Znhit1,-7.162997,0.8146422,7.893219129163081e-13,2.1516769605418686e-12,0.05586728470358624,0.13256990011284323,0.11852042,0.069097385
Tmem60,-7.173185,0.595413,7.327291005510616e-13,1.9980140990264894e-12,0.048304464503537446,0.12362602917206503,0.098710276,0.06641031
Tubb4a,-7.1741657,1.0562104,7.274949280093511e-13,1.9839428311794646e-12,0.22810441571114906,0.37280060183056796,0.52078766,0.28414056
Fjx1,-7.1783895,0.53233796,7.05374547224614e-13,1.92400914464779e-12,0.05220785557453037,0.12809796464245413,0.11110105,0.07811669
Ggct,-7.1953707,0.2649432,6.229123059536156e-13,1.7009810631070786e-12,0.02903147109050988,0.10189325866176287,0.059030246,0.049366966
Mettl26,-7.200889,0.4892605,5.982127185175036e-13,1.633866207213389e-12,0.03561844352281044,0.10941614076148284,0.07300439,0.052547894
1700126G02Rik,-7.20996,0.5057894,5.596831872889802e-13,1.5290988553589118e-12,0.04708465479385216,0.1226229782254357,0.09948996,0.071084894
Rfxap,-7.2165184,0.3630433,5.333537788189562e-13,1.4576094423174688e-12,0.031715052451817514,0.10519496802775108,0.06678916,0.05231117
Snx17,-7.2221766,0.49186486,5.116195186472697e-13,1.3984960799646121e-12,0.0404976823615516,0.1151836837046015,0.084446676,0.06077416
Mrpl53,-7.2273397,0.8204098,4.925476127444774e-13,1.3469116990071348e-12,0.0561112466455233,0.13353115727002968,0.121970676,0.07088567
Ccdc107,-7.2293487,0.68074214,4.853166608386602e-13,1.3272731477592671e-12,0.04928031227128568,0.12546495590755213,0.10612249,0.06751316
Rgs2,-7.235343,0.39094374,4.643542797410664e-13,1.2705905801061565e-12,0.04732861673578922,0.12283194717265014,0.091254346,0.070335016
Dapk3,-7.236537,0.37195694,4.602860828048009e-13,1.2595872334214278e-12,0.033910709929251034,0.10782797676265307,0.06863059,0.05344161
Ache,-7.2544627,0.44212797,4.032587088176802e-13,1.104092266754745e-12,0.03561844352281044,0.10987587244535461,0.06884114,0.051125716
Srp9,-7.2635674,1.096017,3.770123410316934e-13,1.0330737919153172e-12,0.08977799463283728,0.17490700881848958,0.19409405,0.09550019
Ahsa1,-7.265352,0.91135395,3.720687233872431e-13,1.0196314734742704e-12,0.06391802878750914,0.143185522631337,0.13761313,0.07551593
Pou3f1,-7.2659097,0.26504594,3.705362231609255e-13,1.0156389183243975e-12,0.0358624054647475,0.11037739791866928,0.076354235,0.06394008
Cct2,-7.2686214,1.2473348,3.6317396480441515e-13,9.957637177851668e-13,0.12734813369114417,0.22455803067664146,0.27917868,0.12720788
Eef1e1,-7.271802,0.35523596,3.54724024643785e-13,9.726946159994389e-13,0.031715052451817514,0.10573828729050863,0.06602185,0.05197928
Ckap4,-7.27541,0.6468782,3.453696528131517e-13,9.473338680164747e-13,0.0514759697487192,0.1282651398002257,0.10170665,0.066138014
Gm19951,-7.283359,0.9563747,3.2560880838844124e-13,8.934043379349961e-13,0.07636008782629909,0.15827308062021983,0.15974714,0.085504085
Emg1,-7.2905383,0.2962775,3.08719003304673e-13,8.473217179567481e-13,0.03537448158087338,0.10987587244535461,0.06932817,0.056815546
2410004B18Rik,-7.301075,0.30744258,2.8547734489206556e-13,7.840122912152291e-13,0.03342278604537692,0.10795335813098174,0.0680002,0.055302743
Unc50,-7.3341994,0.757287,2.2305109723264638e-13,6.133220407942292e-13,0.05171993169065626,0.12951895348351236,0.111234464,0.06729105
Sod1,-7.335313,1.26845,2.2120412613694944e-13,6.083679497748037e-13,0.17418882654305928,0.29134450620637775,0.38317895,0.17716636
Chpf,-7.364512,0.6930266,1.7779596660343544e-13,4.897363016539529e-13,0.04806050256160039,0.12550674969699502,0.103519544,0.06528592
Ccndbp1,-7.36529,0.37693262,1.7676169295170787e-13,4.869373272106203e-13,0.03854598682605514,0.11426422033685794,0.07324256,0.05687077
Anp32e,-7.365866,0.84485316,1.7600055191693954e-13,4.848902727374311e-13,0.06952915345206148,0.15083378609938564,0.14237048,0.081752844
Eif3f,-7.374474,1.0012381,1.6499483174714986e-13,4.548487872212904e-13,0.08050744083922907,0.16466753040498183,0.17314667,0.090242006
Pdcd5,-7.3982882,1.1639522,1.3795132229492973e-13,3.8068727842916317e-13,0.097096852890949,0.18614953817862664,0.22351255,0.10596043
Skp1,-7.3986034,1.2030007,1.3762402105380324e-13,3.7982307371771707e-13,0.2303000731885826,0.38174447277134615,0.51041305,0.25408587
Jund,-7.4028563,1.1433117,1.3328572954386556e-13,3.678877814939566e-13,0.1312515247621371,0.2307853053036319,0.28412312,0.1386851
Abracl,-7.4358144,0.29060254,1.0392555455720053e-13,2.874400052446709e-13,0.029519394974383995,0.10494420529109375,0.062264834,0.05119058
Tmem59l,-7.435918,1.3676109,1.0384426476509335e-13,2.872447389580048e-13,0.19907294462063918,0.3335562335436954,0.46272442,0.20540509
Pfdn4,-7.446349,0.5726493,9.595857368833386e-14,2.6548670459282647e-13,0.04147353012929983,0.11861077443891838,0.08488521,0.057861008
Phyh,-7.4665556,0.43949676,8.23211215662146e-14,2.27943995927884e-13,0.04440107343254452,0.12191248380490659,0.08557617,0.06380256
Gpatch11,-7.4754577,0.41991848,7.693568352766435e-14,2.1309780603941255e-13,0.04147353012929983,0.11877794959668993,0.07978611,0.060230263
Prps1,-7.484627,0.57883275,7.175070571607844e-14,1.9877734432323207e-13,0.04196145401317394,0.11957203159610481,0.0842504,0.05718382
Gpr137,-7.5071692,0.43458304,6.041958725404812e-14,1.6754120841241208e-13,0.035130519638936326,0.11196556191749905,0.07120059,0.053164087
Armcx2,-7.5129924,0.5436647,5.779089017831773e-14,1.6030156076095773e-13,0.03927787265186631,0.11681364149287415,0.080504626,0.05591911
Gfra4,-7.5207367,0.73612285,5.44684426835998e-14,1.5114810026937175e-13,0.0451329592583557,0.1237514105403937,0.098779835,0.060464967
Tagln3,-7.532967,1.2455761,4.9600172404534075e-14,1.3769569506248895e-13,0.13783849719443766,0.24215321603209763,0.30397657,0.1396032
Bhlhe22,-7.5377703,0.8877188,4.780744441796828e-14,1.327600280602323e-13,0.07221273481336911,0.15630877251640407,0.16076127,0.09007844
Sub1,-7.538036,1.2657292,4.7710290472557934e-14,1.3250392816512988e-13,0.24493778970480606,0.41008066201362475,0.56985754,0.2771826
Tspan17,-7.5402336,0.45739082,4.691294821648857e-14,1.303164394269666e-13,0.035130519638936326,0.11238349981192795,0.07119565,0.052347995
Ubald1,-7.5447607,0.390972,4.531194537475589e-14,1.2592118856341824e-13,0.03903391070992925,0.11668826012454549,0.07834961,0.060298674
Ptov1,-7.5521193,1.1923254,4.282318670667516e-14,1.1905421901793707e-13,0.11100268358136131,0.2057090316378986,0.25183678,0.1180688
Qdpr,-7.553558,0.7145403,4.2352620808840675e-14,1.1775816650802451e-13,0.09880458648450842,0.18823922765077108,0.20813234,0.13190559
Polr2c,-7.554871,0.7370295,4.1927504286821216e-14,1.1658822727795572e-13,0.05001219809709685,0.12951895348351236,0.10254145,0.06277483
Tecr,-7.5566316,1.1542408,4.1364214585160256e-14,1.150456936034837e-13,0.2966577213954623,0.5063735528900405,0.69934577,0.37492988
Lrrc24,-7.570464,0.28887165,3.718930407117212e-14,1.0349835322551992e-13,0.030495242742132226,0.1073264512893384,0.06147675,0.050598223
Pole4,-7.5856605,0.27117786,3.3079811668106273e-14,9.214747455131822e-14,0.04000975847767748,0.1181510427550466,0.075800985,0.063213125
Mrps7,-7.592059,0.572998,3.1486150546212074e-14,8.774454108864534e-14,0.04415711149060746,0.12308270990930748,0.09328274,0.06365457
Commd4,-7.592901,0.49019155,3.1282141791577155e-14,8.718505859762245e-14,0.03488655769699927,0.1125506749696995,0.073646404,0.0529815
Jun,-7.597856,0.88031834,3.0107698437880705e-14,8.393793909793054e-14,0.09270553793608197,0.182262715760438,0.20676532,0.11758824
Anapc11,-7.608346,0.78032726,2.776261875903586e-14,7.743217418053701e-14,0.06635764820687973,0.14932920967944163,0.13450137,0.0804938
Armcx4,-7.6113286,0.44953448,2.712928861742648e-14,7.567362038308413e-14,0.03781410100024396,0.11601955949345927,0.07436509,0.054991733
Rpl15,-7.611791,1.2577295,2.7032299096467287e-14,7.541873914672163e-14,0.2539643815564772,0.42746687842186654,0.604529,0.2980808
Snrpc,-7.6157537,0.4885594,2.621570821336446e-14,7.316328206201736e-14,0.04269333983898512,0.12166172106824925,0.085250705,0.061496206
Cct5,-7.6392198,1.2377937,2.1854217629845537e-14,6.106726577724101e-14,0.14710905098804586,0.2563631044426798,0.32427034,0.15049458
Chchd1,-7.648947,0.73236,2.0263201804807585e-14,5.665094501042345e-14,0.06099048548426445,0.14326911021022276,0.12677656,0.078216895
Rsl24d1,-7.651032,0.36122808,1.993726748088735e-14,5.574551271711166e-14,0.03195901439375457,0.10983407865591173,0.06711487,0.052632518
Atpif1,-7.6510844,1.1912216,1.992916936240057e-14,5.572866903608111e-14,0.27201756525981946,0.45977347766121957,0.6415646,0.3321035
Rrp7a,-7.653605,0.36217418,1.954217666820033e-14,5.467495700484619e-14,0.03244693827762869,0.1103356041292264,0.06625546,0.051920626
Rab5if,-7.6557384,0.9999168,1.9220466744430013e-14,5.378608013151786e-14,0.08855818492315198,0.17758181134283446,0.18993698,0.09947661
Mrpl58,-7.655987,0.647349,1.9183311381038706e-14,5.3687696782471625e-14,0.0451329592583557,0.12504701801312326,0.09451504,0.061365128
Ndufb4,-7.6731234,0.7254597,1.6785820952319245e-14,4.701709673603858e-14,0.04928031227128568,0.1300622727462699,0.107628115,0.066467375
Pgp,-7.6739244,1.0697961,1.6681240265124524e-14,4.6729037314834864e-14,0.10222005367162723,0.19546955322439086,0.22013295,0.11092088
Ctsb,-7.678924,1.0230513,1.604299721045764e-14,4.494581743770168e-14,0.28128811905342765,0.47272955238851505,0.63239306,0.3605116
Id2,-7.688842,0.63420355,1.4847313767419674e-14,4.1630733687839575e-14,0.07367650646499146,0.15873281230409161,0.156195,0.10338744
Il31ra,-7.689318,0.96036196,1.4792140783154e-14,4.148036139045586e-14,0.08050744083922907,0.1677184770343127,0.17072804,0.091372475
Atp5g2,-7.7275014,1.2705272,1.0967781875056988e-14,3.0826809517027326e-14,0.16247865333008052,0.279600451372926,0.37306005,0.1717899
Smpd1,-7.7283936,0.8672019,1.0891204641063197e-14,3.061477860711038e-14,0.07392046840692852,0.1599448321979354,0.15417846,0.08744828
Cct6a,-7.7337623,1.2608104,1.0441381548527466e-14,2.935648448351292e-14,0.16979751158819223,0.29055042420696287,0.3800766,0.17643958
Ap2m1,-7.7442627,1.2687151,9.613810801123454e-15,2.7055204883345962e-14,0.17150524518175164,0.2930162577840933,0.38130715,0.17618254
Nudc,-7.7449145,1.0569513,9.564616422789077e-15,2.692522192565139e-14,0.09392534764576727,0.18539724996865467,0.20223366,0.1023123
Trim28,-7.7508516,0.7510135,9.127836420728508e-15,2.570103370271141e-14,0.05367162722615272,0.13591340326827434,0.11326475,0.06883528
Rpl22,-7.752279,1.1252096,9.025811124878476e-15,2.5416426841907844e-14,0.1232007806782142,0.2239311238349981,0.27029467,0.13302246
Stmn2,-7.754043,0.8050018,8.901211908208049e-15,2.5070813833705476e-14,0.3454501097828739,0.6068458227107452,0.8362969,0.5587815
Dgcr6,-7.7560825,0.84126997,8.759318593948108e-15,2.4673748885563023e-14,0.051963893632593315,0.1342416516905588,0.11590858,0.06634293
Atp1b2,-7.7701626,0.5925579,7.838537687100849e-15,2.209162026981328e-14,0.09660892900707489,0.18702720775692733,0.19706275,0.13492523
Tspyl5,-7.788797,0.5435287,6.765024088714677e-15,1.9078106345902957e-14,0.04074164430348866,0.12124378317382037,0.084755056,0.058915015
Rasl10a,-7.7949667,0.6823946,6.442537630526831e-15,1.8172473874895646e-14,0.05293974140034155,0.13562084674217412,0.120090306,0.076507725
Cops7a,-7.814884,0.49817118,5.5013681244496875e-15,1.5534022856658587e-14,0.04440107343254452,0.1256321310653237,0.088614196,0.0635408
Ldha,-7.821596,1.2102807,5.215771590416346e-15,1.473378707259117e-14,0.1295437911685777,0.23383625193296276,0.2809175,0.13118316
6330403K07Rik,-7.8224435,1.131423,5.1807758133907e-15,1.463646789042247e-14,0.13271529641375945,0.23843356877168054,0.29596934,0.14602037
Fdx2,-7.824748,1.017661,5.086749099010913e-15,1.4372339462715377e-14,0.07343254452305441,0.16078070798679317,0.15824732,0.08128953
Mrpl19,-7.825709,0.46499288,5.048034016460852e-15,1.426445199519435e-14,0.04196145401317394,0.12295732854097881,0.0833029,0.061034705
Rab35,-7.8341575,0.41823697,4.719966747899146e-15,1.3343030669758026e-14,0.0404976823615516,0.12145275212103482,0.08058071,0.06090497
Eif3l,-7.848853,0.54633796,4.198585360637183e-15,1.1872867674207652e-14,0.04635276896804098,0.1281815522213399,0.09531293,0.066234894
Tor1a,-7.851046,0.680779,4.125813618867325e-15,1.166830985569572e-14,0.050500121980970966,0.13328039453337234,0.10508215,0.06683708
Mettl23,-7.8656864,0.25428712,3.670790271268186e-15,1.0388007855605703e-14,0.036594291290558675,0.11706440422953149,0.0724161,0.061063226
Pgrmc1,-7.9055552,1.1284807,2.667422834534532e-15,7.565299932862874e-15,0.26347889729202245,0.44627408367116644,0.59747565,0.31767735
Psmd2,-7.9177256,1.139631,2.418941298754391e-15,6.8649083964438624e-15,0.11929738960722128,0.22054582689012414,0.2575196,0.12514335
