names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PV (for_DEGs),mean_expr_Rest (for_DEGs)
Zfp169,5.2295704,1.0419037,1.6990449907737558e-07,2.2423054470575056e-06,0.3264033264033264,0.21575603557814485,0.2248029,0.11549581
Cabin1,5.2294593,0.46566197,1.7000640001518163e-07,2.242548830833545e-06,0.5592515592515592,0.4748956253403522,0.47100803,0.36161682
Abca3,5.2281575,0.55614847,1.7120751314889263e-07,2.256177478327977e-06,0.48232848232848236,0.3902704665093483,0.37508625,0.26966983
Cep43,5.2218904,0.8899362,1.771059377333906e-07,2.3309076181511834e-06,0.3762993762993763,0.27769105100744235,0.2801514,0.16082658
Dnajc11,5.221856,0.6472551,1.7713856926924883e-07,2.3309076181511834e-06,0.43451143451143454,0.3349428208386277,0.31059888,0.20909826
Zfyve16,5.2196193,0.6219727,1.7929139198710745e-07,2.35692744750175e-06,0.4677754677754678,0.3833363586857869,0.37538254,0.25928804
Dcun1d2,5.214662,0.5661851,1.841525764625754e-07,2.418465165957674e-06,0.49272349272349275,0.4031584679615175,0.38211173,0.2733159
Gmcl1,5.2099237,0.45931324,1.889180794784232e-07,2.4786273415943514e-06,0.5862785862785863,0.4856053730259575,0.49955186,0.38614583
Dnajc6,5.202676,0.38643128,1.9643926205900008e-07,2.574791693426991e-06,0.8648648648648649,0.7026683608640406,1.1294243,0.95622236
Bmerb1,5.2025847,0.3429719,1.965354598582318e-07,2.5747965901466058e-06,0.7151767151767152,0.5926302414231258,0.70641613,0.59303904
Clk1,5.2018886,0.3070872,1.9727348458433733e-07,2.583205911686717e-06,0.7130977130977131,0.5936467598475222,0.65074563,0.55455244
Cpeb2,5.199811,0.3587531,1.9949146344782725e-07,2.6071671317330343e-06,0.681912681912682,0.5933200217825376,0.73945075,0.61721224
Ambra1,5.197901,0.37282392,2.0155167477157246e-07,2.6328116194030877e-06,0.9022869022869023,0.746197131965874,1.1849439,1.0128518
