names,scores,logfoldchanges,pvals,pvals_adj
Dlg5,2.7075696,0.38750082,0.006904691733905065,0.028564787907565604
Gm13629,2.7056477,0.94113654,0.0069576754387898135,0.028694571989080847
Gm15155,2.6995313,0.54978144,0.007066050757505939,0.029072998810770256
Cacna2d1,2.6969378,0.09701582,0.0071071706417627995,0.02920210357031761
Fgf10,2.6912787,0.7676226,0.007256113726254568,0.02967171387590483
P3h2,2.6864827,0.6320703,0.007359480403634413,0.030018514629089502
Csrnp3,2.6844828,0.17516397,0.007385605236597638,0.03009255418999462
Acyp2,2.683581,0.25639546,0.007400005933184293,0.030140383878217897
Wdr66,2.6769588,0.72943425,0.007570321903122057,0.030734584047705647
Aig1,2.6735547,0.22365141,0.007626598816283316,0.030885543060363372
Cnot3,2.6597044,0.3149495,0.007954810382026088,0.03200864177529545
Ccdc62,2.648474,0.71483904,0.008239938401887347,0.03287555409604314
Lrfn5,2.6367319,0.081530534,0.008482833219633012,0.03363082305204349
Gm15832,2.635455,1.3081356,0.008586421006766798,0.033911421367150495
Gm10062,2.6350448,0.791024,0.00856623740221319,0.033878975237603894
Ccdc15,2.6300638,0.6822899,0.008686835393387882,0.034236351256293415
Wbscr25,2.6214864,1.1791426,0.008927210966855639,0.034976750788133705
Dpysl3,2.6192453,0.5926854,0.008964656577361924,0.03511131318764063
Gm30667,2.6153862,0.93125767,0.00907775751880251,0.0354684086906145
Gm56750,2.6106575,1.2593229,0.009228038245965837,0.03591924271539057
Gm28578,2.6043594,1.1610582,0.009389691365560178,0.0363112962200266
Myo16,2.6037557,0.5996743,0.009373989298831788,0.036280184235050694
Gm49179,2.60375,0.83653194,0.009378442043274166,0.036280184235050694
Nln,2.6018162,0.3718137,0.009414920312143723,0.03639642973520088
Eps8,2.5989358,0.4579969,0.00949964556429477,0.036651039114719765
Gm44724,2.5931492,0.42774963,0.009658865633312813,0.03711141349372277
Pcnx2,2.5924075,0.43521503,0.009680527460159143,0.03718202592652035
Pelp1,2.5899916,0.6131844,0.009764692223594152,0.03744179141474994
Pappa,2.5892422,1.2604688,0.00979921583560956,0.037510656155039575
Cntnap3,2.5848918,1.1717145,0.00992854185326139,0.03786489707122894
4930570G19Rik,2.5755234,0.3141809,0.010152465192247006,0.03853198477344473
Lin7a,2.5743575,0.3323443,0.010185404331080278,0.03863629254298894
B3gat2,2.5741131,0.7043584,0.010220199005958157,0.03875529582868861
Ints9,2.561499,0.4078638,0.010579377464649965,0.039771012958908225
Sema3a,2.544468,0.7783984,0.01112161279866608,0.04120746784008378
Ffar1,2.5422437,0.8866322,0.011199742849953993,0.04138860583878233
Tmem108,2.5323398,0.113134354,0.01147833440931787,0.042193583369816476
Rmrp,2.5294127,1.1941922,0.011631415282766304,0.04258083260483765
