names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA2-FC-IG Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Prkce,6.218747,0.40998614,5.011407651846827e-10,2.927315730546179e-08,0.8181818181818182,0.8363970588235294,2.079541,1.8356197
Ptprr,6.1945095,0.8499783,5.846681768333674e-10,3.385783170584608e-08,0.679144385026738,0.573961937716263,0.97145414,0.6475495
Epha6,6.187721,0.48265535,6.104023674359011e-10,3.527206798495196e-08,0.8235294117647058,0.8863177623990772,2.8674424,2.5552268
Mpped2,6.1755,0.84726787,6.595444658671409e-10,3.7626241609023515e-08,0.7112299465240641,0.5977869088811996,1.0120176,0.6797332
Fam168a,6.173921,0.4743528,6.661680314623362e-10,3.7857582326000674e-08,0.7486631016042781,0.7692113610149942,1.3527529,1.119853
Kif1c,6.1202683,1.0623968,9.341789319247082e-10,5.218583763163598e-08,0.5133689839572193,0.26272347174163785,0.29504552,0.15214676
Sidt1,6.117265,0.8517193,9.519474715727252e-10,5.306810904804798e-08,0.6737967914438503,0.5878388119953863,0.992726,0.66331804
Kit,6.0832367,1.0625763,1.1778040083184161e-09,6.525277052271307e-08,0.5133689839572193,0.25342416378316035,0.3755179,0.19737446
Specc1,6.0775127,0.70614,1.2206100750319042e-09,6.748517019775157e-08,0.6951871657754011,0.6831026528258363,1.169188,0.8588241
Grid1,6.0708427,0.39328015,1.27240916562875e-09,7.020458784485526e-08,0.7486631016042781,0.7844939446366782,1.7503105,1.530723
Arhgef3,6.060223,0.9646835,1.3593296031604238e-09,7.479300550284847e-08,0.6363636363636364,0.4566753171856978,0.6484709,0.38363904
Osbpl10,6.058635,0.9422718,1.3728144364627466e-09,7.528066103623265e-08,0.6256684491978609,0.4220371972318339,0.57458615,0.33935747
Rapgef5,6.0514007,0.6807176,1.435917941857889e-09,7.842096564577537e-08,0.7540106951871658,0.7165873702422145,1.4594909,1.1187634
Cabp1,6.047078,1.097254,1.474961215115488e-09,8.038987393540195e-08,0.5775401069518716,0.3753964821222607,0.4919637,0.26009038
Anxa11,6.044849,1.5500122,1.495501853429159e-09,8.134440243247268e-08,0.43315508021390375,0.193699538638985,0.30298895,0.11409554
Mfhas1,6.042519,0.9977667,1.5172625283105143e-09,8.236130128424954e-08,0.6256684491978609,0.4556300461361015,0.618323,0.35667256
Chst1,6.0337834,0.9586785,1.6016473573123928e-09,8.659208147079273e-08,0.6898395721925134,0.49596309111880044,0.7203869,0.43369284
Car7,6.033005,1.5905715,1.6093809282897996e-09,8.683547297820665e-08,0.40641711229946526,0.16688292964244522,0.22289939,0.07965057
Rgl1,6.0297976,0.8058658,1.64165102517765e-09,8.839912434173037e-08,0.6898395721925134,0.5791522491349481,0.8902009,0.5994962
Dock9,6.0269356,0.63651186,1.6709739858397109e-09,8.979814199902606e-08,0.7379679144385026,0.7139201268742791,1.3534839,1.0461773
Nfib,6.0014744,0.52477574,1.9553382326631917e-09,1.0403948180526724e-07,0.8235294117647058,0.8183751441753172,2.0131025,1.7063043
Zbtb18,5.983625,1.1855632,2.182254145357013e-09,1.1497484095243713e-07,0.6470588235294118,0.46442474048442905,0.7641777,0.4083827
Nab1,5.9777193,0.9362178,2.2628333864016334e-09,1.1898695321450467e-07,0.5508021390374331,0.315383506343714,0.35745117,0.20257455
Arap2,5.9640465,0.9033825,2.460664011821568e-09,1.2838454756824374e-07,0.6844919786096256,0.5785034602076125,1.0379792,0.6805205
Pcdh1,5.9592876,1.19406,2.533401301979387e-09,1.3192343601586459e-07,0.5561497326203209,0.3500576701268743,0.4830523,0.24014057
Ust,5.9411607,0.86590564,2.83011265936271e-09,1.4652240300014646e-07,0.6684491978609626,0.5909385813148789,1.0831909,0.72861826
Slc44a5,5.9278064,0.863681,3.0700792218217516e-09,1.5773045638690338e-07,0.6844919786096256,0.6090686274509803,1.1872873,0.8118049
Lurap1l,5.9217052,0.98946303,3.1862066608432543e-09,1.630730913844919e-07,0.5989304812834224,0.3822808535178777,0.5205039,0.29560548
Lrp12,5.908915,1.0671332,3.443678456692235e-09,1.75249318430531e-07,0.5882352941176471,0.4018526528258362,0.5420612,0.2952157
Erc2,5.8929086,0.29907465,3.794563371096018e-09,1.9237720336103773e-07,0.7967914438502673,0.8477148212226067,2.489669,2.301291
Clip1,5.8896465,0.7121366,3.87023065290582e-09,1.9584387503498944e-07,0.7165775401069518,0.6507713379469435,0.9866464,0.7064857
Trpc5,5.87677,0.86577,4.1834880274161315e-09,2.1090116941214158e-07,0.6844919786096256,0.5618151672433679,1.0739803,0.72147024
Chn1,5.8713555,0.71196115,4.322460051206343e-09,2.174990666215626e-07,0.8556149732620321,0.7587586505190311,1.466713,1.1105286
Lman2,5.870623,1.6582606,4.341603820636558e-09,2.18054008711223e-07,0.4117647058823529,0.1834991349480969,0.31365156,0.110396706
Wasf1,5.8697224,0.66609895,4.365260249864927e-09,2.1883310245125112e-07,0.786096256684492,0.7179209919261822,1.3771428,1.0534981
Calcrl,5.867197,1.3757464,4.432240525110787e-09,2.2177710039055282e-07,0.37433155080213903,0.12345011534025375,0.24823724,0.10307872
Arpc5,5.855704,1.1975799,4.749939867000238e-09,2.372321268146773e-07,0.5668449197860963,0.33776672433679356,0.49109563,0.24410103
Maml3,5.8520684,0.9333232,4.8549668947237e-09,2.4157955640967744e-07,0.6577540106951871,0.5031718569780853,1.0167142,0.6542866
Tmsb4x,5.839374,1.0715312,5.239727282629479e-09,2.5976286362408504e-07,0.8770053475935828,0.7205521914648212,1.6248364,1.0784701
Myrip,5.8340464,0.8752559,5.4099128796592405e-09,2.672138953611099e-07,0.6363636363636364,0.509083044982699,0.73039263,0.4615504
Lix1,5.827599,0.95102453,5.623050573592521e-09,2.767241188872363e-07,0.5775401069518716,0.37067474048442905,0.48908547,0.28239536
Lrrc8c,5.8177896,0.91717166,5.963099102134314e-09,2.9238772422326464e-07,0.5989304812834224,0.39291378316032294,0.48017317,0.28246006
Fhip1a,5.8078704,1.8729388,6.327242898648259e-09,3.085535693043171e-07,0.3689839572192513,0.1323529411764706,0.24433373,0.07284416
Bach2,5.784643,0.7890394,7.2666434197357886e-09,3.51810285924866e-07,0.679144385026738,0.6169261822376009,1.0678232,0.7442295
Egfem1,5.779861,0.63580155,7.476230317533689e-09,3.606576456591207e-07,0.7379679144385026,0.7736447520184544,2.2532,1.8690425
Rgs14,5.7564154,2.3519123,8.591881891288007e-09,4.115220435274666e-07,0.32620320855614976,0.0884515570934256,0.2083623,0.04437941
Tspan13,5.751215,0.8433491,8.860444421597253e-09,4.236301452105306e-07,0.7540106951871658,0.6115196078431373,1.0014374,0.67287606
Rap2b,5.7291794,1.3367492,1.0091754727800137e-08,4.799388487362649e-07,0.49732620320855614,0.28820645905420994,0.40664503,0.18120176
Man1a2,5.726395,0.72173125,1.0258722228694504e-08,4.870174315989776e-07,0.7112299465240641,0.6614763552479815,1.0711412,0.771703
