names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NP SUB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tbc1d30,3.2363703,0.40163505,0.0012106019261728866,0.013599027490077535,0.4796747967479675,0.35788333032327974,0.31100217,0.24384566
Stxbp2,3.2339876,1.4610146,0.001220747247656185,0.013697910621425348,0.1951219512195122,0.07950153512732526,0.10147265,0.038060095
Fn3k,3.233944,0.9329607,0.0012209339761188578,0.013697910621425348,0.2682926829268293,0.15766660646559508,0.15242447,0.08272516
Trim46,3.2319028,0.31602,0.0012296887619310218,0.013790374387765673,0.532520325203252,0.4027451688640058,0.32955816,0.27274448
Hook2,3.2297504,0.89511263,0.0012389832352984807,0.013888810818719307,0.3170731707317073,0.21946902654867256,0.20917122,0.11787218
Pigu,3.2269864,0.27643424,0.0012510137182049999,0.014011979411491599,0.5447154471544715,0.41907169947625067,0.3546275,0.3011628
Slc35g2,3.2263312,1.3315303,0.0012538815446060312,0.01403824879315169,0.1951219512195122,0.0786346396965866,0.106567845,0.043713395
Ablim3,3.2260573,0.37913948,0.001255082616462826,0.01404584335874891,0.4268292682926829,0.29889832039010295,0.2700389,0.2137958
Cacng5,3.2257118,1.5438858,0.0012565985254889963,0.014056953530345268,0.17479674796747968,0.056781650713382696,0.08879427,0.03134931
Slc9a6,3.2251797,0.44459078,0.0012589366812772397,0.014077248699924856,0.4268292682926829,0.3220155318764674,0.2788645,0.21214737
Rad54l2,3.224838,0.33319896,0.0012604394042853007,0.01408818918184111,0.5447154471544715,0.4304858226476431,0.37273997,0.30642116
Me3,3.223575,0.37631446,0.0012660103798122753,0.014144573349503467,0.8333333333333334,0.6276684124977424,0.9860384,0.8306141
Cdk8,3.2206087,0.28134254,0.0012791864542600617,0.01427397841609961,0.8780487804878049,0.698826079104208,0.95049995,0.83543926
Clcn6,3.2203388,0.50006557,0.0012803921473911887,0.014281501453051574,0.3943089430894309,0.28867617843597615,0.24476095,0.17905204
2700049A03Rik,3.2192745,0.42866185,0.0012851542183414165,0.014328669645989153,0.4715447154471545,0.3610258262597074,0.3180885,0.2454796
Smyd4,3.2189727,0.56172395,0.0012865076287486598,0.01433781003089029,0.35772357723577236,0.24720968033230992,0.20338057,0.14219433
Taco1,3.2186112,0.33858585,0.0012881298903116211,0.014349937874242644,0.5528455284552846,0.43120823550659204,0.37538475,0.30767477
