names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SUB-ProS Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Peli2,-4.969756,-1.8730612,6.703722505971287e-07,3.800992271269223e-06,0.1702127659574468,0.25919407472591943,0.062194843,0.21111932
Igf1r,-5.0049405,-0.4020828,5.587934718939753e-07,3.1932753274757796e-06,0.7872340425531915,0.6849998166685,0.71849257,0.8709836
6530403H02Rik,-5.034016,-0.93314713,4.803096941819828e-07,2.7689168596159362e-06,0.4331306990881459,0.46298537014629854,0.39247012,0.6511448
Nectin3,-5.132357,-1.2267797,2.861361813534689e-07,1.6912624709563813e-06,0.3860182370820669,0.41572250944157224,0.20929709,0.43494672
Ccbe1,-5.170472,-1.4338806,2.3350332869055488e-07,1.3911828030854124e-06,0.24468085106382978,0.32068345983206836,0.12822032,0.31452274
Ankrd6,-5.203606,-1.2599642,1.9545780562911917e-07,1.1733581852668528e-06,0.2553191489361702,0.33384666153338466,0.1107455,0.2472255
Kcnh1,-5.2175436,-0.748413,1.8131156841296421e-07,1.0914777065847315e-06,0.5395136778115501,0.5165548344516555,0.3495364,0.5323369
Satb2,-5.218057,-1.0487143,1.8080950316949263e-07,1.0888281824662184e-06,0.38145896656534956,0.42158911744215893,0.2722986,0.49923208
Actb,-5.219283,-0.79147255,1.79617140922976e-07,1.0818902884107522e-06,0.7659574468085106,0.68169984966817,0.57638353,0.85413885
Chd7,-5.2333426,-1.7131953,1.664718283837775e-07,1.0054165045340753e-06,0.25227963525835867,0.32658673413265865,0.117755614,0.34341675
Maml3,-5.253501,-0.96847314,1.492348663493365e-07,9.062013240241065e-07,0.4908814589665654,0.5045282880504528,0.39256838,0.66308606
mt-Co3,-5.373204,-1.0200689,7.734968837789149e-08,4.873121047394945e-07,0.6534954407294833,0.6069739302606973,0.46600842,0.7902173
