names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6 CT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Eya1,4.376855,-0.423193,1.2040395165666379e-05,3.629815080236235e-05,0.2714429868819374,0.166815144766147,0.12222319,0.16069299
Atp5d,4.37445,-0.40327802,1.2173888942834504e-05,3.669236072843109e-05,0.3501513622603431,0.23006681514476615,0.14349532,0.18570364
Appl2,4.373682,-0.61647356,1.2216828077991768e-05,3.6817650342714086e-05,0.3693239152371342,0.2378247958426132,0.12607275,0.1873068
Qdpr,4.3538313,-0.4955291,1.3377869465438182e-05,4.022642709672381e-05,0.27648839556004035,0.17193763919821825,0.104805134,0.14477459
Atp6v0e2,4.352301,-0.445904,1.3471620544764838e-05,4.0494735880728405e-05,0.47023208879919276,0.3170007423904974,0.18889718,0.2493702
Ube2m,4.349876,-0.38395795,1.362145687304825e-05,4.0931396351913046e-05,0.26337033299697277,0.1609502598366741,0.09029678,0.11628257
Afap1l1,4.331445,-0.2596771,1.4813379859321454e-05,4.438892793799124e-05,0.1715438950554995,0.08344469190794358,0.057889227,0.068920314
Ubxn6,4.3249607,-0.29581988,1.5255907063625644e-05,4.5674230952604016e-05,0.2250252270433905,0.12936154417223458,0.06790682,0.082737684
Nxn,4.3248944,-0.6991956,1.5260488367994963e-05,4.568285677896888e-05,0.20181634712411706,0.10705270972531551,0.060503013,0.096459754
Gng7,4.3224597,-0.26612675,1.5429939470707633e-05,4.616954048751827e-05,0.4339051463168517,0.28934669636228655,0.16751474,0.19828083
Kctd13,4.3150325,-0.38849556,1.5957958097085833e-05,4.7717597826474106e-05,0.28557013118062563,0.18002969561989607,0.09963414,0.1285185
Park7,4.30858,-0.4770923,1.6430617391070898e-05,4.9070877992450264e-05,0.3239152371342079,0.2086859688195991,0.1187322,0.1616758
Aff1,4.3084955,-0.502675,1.643687561572333e-05,4.908411289114091e-05,0.29364278506559033,0.18485523385300667,0.0949433,0.13200337
Cldn11,4.3057556,-0.5593019,1.6641659924946065e-05,4.966804422784636e-05,0.3350151362260343,0.21997030438010393,0.1684278,0.23926383
Mrps18c,4.300194,-0.36056343,1.7064877785466087e-05,5.089724343384102e-05,0.22805247225025227,0.13262806236080177,0.06726946,0.085572265
Tm2d3,4.29676,-0.3076199,1.733126466576559e-05,5.1651628390541415e-05,0.24520686175580222,0.14706755753526354,0.07922064,0.097160295
Ndufab1,4.295755,-0.47966427,1.7409966600226972e-05,5.188042614484848e-05,0.3834510595358224,0.255456570155902,0.14476646,0.19655953
Pet100,4.291824,-0.26264033,1.7721146827528622e-05,5.279601011816101e-05,0.34611503531786075,0.23121752041573868,0.12151069,0.14409992
Lamtor1,4.278867,-0.31187445,1.8784719637685832e-05,5.589031299575001e-05,0.25832492431886983,0.15879732739420935,0.08324946,0.10234234
P4hb,4.2728333,-0.29706883,1.9300450420145668e-05,5.7392994996604046e-05,0.2341069626639758,0.13838158871566444,0.076814525,0.09357899
C2cd2l,4.270517,-0.27308124,1.9502039261039655e-05,5.797320444121424e-05,0.34712411705348134,0.22984409799554567,0.11869009,0.14174412
Tma7,4.265996,-0.43371817,1.9901232308658575e-05,5.91075618584786e-05,0.4117053481331988,0.2772457312546399,0.1696264,0.22289915
Omg,4.2628307,-0.35102332,2.018532056083335e-05,5.9931443477303e-05,0.2805247225025227,0.17802524127691166,0.10309819,0.12972568
Phldb2,4.2620425,-0.33662152,2.025667086696755e-05,6.013664193961088e-05,0.16548940464177597,0.07861915367483296,0.06098413,0.07641195
Idh3b,4.2616315,-0.3005104,2.0293984462333e-05,6.023843196987963e-05,0.4924318869828456,0.33570898292501855,0.2025656,0.24415317
Cdk5r1,4.261547,-0.2621961,2.030163727258243e-05,6.025016495629444e-05,0.5590312815338042,0.38544914625092797,0.26050738,0.30520147
Arf5,4.261315,-0.4274432,2.0322787883493002e-05,6.030627392926084e-05,0.45610494450050454,0.3089829250185598,0.18476726,0.24131511
Gabarapl2,4.256647,-0.3575288,2.0751534804591954e-05,6.1558151931926e-05,0.33703329969727547,0.2220861172976986,0.1409765,0.17728789
1500011B03Rik,4.255905,-0.32147816,2.0820495399889192e-05,6.175590146760376e-05,0.32088799192734613,0.21002227171492205,0.11054501,0.13633211
Fdx2,4.2553577,-0.29451048,2.087151696035037e-05,6.190040405348945e-05,0.2401614530776993,0.14484038604305866,0.076329134,0.09283514
Atp5l,4.2465863,-0.2876516,2.1705199834581076e-05,6.430904394698351e-05,0.656912209889001,0.45697847067557534,0.350873,0.41412586
Sncb,4.2441015,-0.41091907,2.1947110165518338e-05,6.500428242366376e-05,0.591321897073663,0.401373422420193,0.2771513,0.35389578
4930581F22Rik,4.242194,-0.33920464,2.2134528099340718e-05,6.553771570570635e-05,0.19374369323915236,0.10319227913882702,0.05849783,0.073446095
Eid1,4.235489,-0.26456255,2.280551067119588e-05,6.747980087380611e-05,0.5973763874873865,0.4169636228656273,0.30548674,0.35711223
Atp5pb,4.2346244,-0.31550926,2.2893413520727232e-05,6.773244013454533e-05,0.6629667003027245,0.45326651818856717,0.33361533,0.40066063
Arhgdia,4.231347,-0.3544242,2.3229606650313684e-05,6.87044062403884e-05,0.2593340060544904,0.16009651076466222,0.09098817,0.11491867
Grn,4.2307153,-0.4360942,2.3294955295110443e-05,6.888251884886294e-05,0.2129162462159435,0.120452858203415,0.0728639,0.097363055
Crybg3,4.2267275,-0.29193676,2.3711431238767196e-05,7.009088640106431e-05,0.19677093844601412,0.10686711210096511,0.059590098,0.07248137
Cacybp,4.2245555,-0.38570485,2.394128553276691e-05,7.076255002369892e-05,0.26639757820383453,0.16484780994803266,0.09342243,0.12039253
Cct5,4.2197075,-0.41743785,2.44619349493621e-05,7.227756675713214e-05,0.35519677093844604,0.2366369710467706,0.13543317,0.17705694
Smoc1,4.2147794,-0.37647632,2.5002230963358653e-05,7.380904702103351e-05,0.17759838546922302,0.08975501113585746,0.0582655,0.07500116
Ndufv1,4.2144547,-0.3175986,2.5038250929828416e-05,7.390726161534543e-05,0.2341069626639758,0.1394580549368968,0.078387044,0.09678282
Ptgs1,4.2135,-0.2916062,2.514437320034269e-05,7.421235807262831e-05,0.1442986881937437,0.06054194506310319,0.0457072,0.055665508
Map1a,4.213205,-0.39834344,2.5177232628987166e-05,7.430117965303516e-05,0.5953582240161454,0.4115812917594655,0.28732422,0.36374128
Zmat2,4.2053747,-0.38833344,2.6065004434903747e-05,7.68198606082992e-05,0.4651866801210898,0.31948775055679285,0.21242876,0.2698618
Mbp,4.20376,-0.25398684,2.6251727469076264e-05,7.735320946310771e-05,0.7336024217961655,0.563177431328879,0.69297034,0.78484786
Igsf8,4.200974,-0.41316348,2.6576906508511828e-05,7.829420873629129e-05,0.4803229061553986,0.3280252412769117,0.20010637,0.25850615
Sec11c,4.195944,-0.4975214,2.7173780240681653e-05,7.996489706134225e-05,0.4046417759838547,0.27216035634743874,0.15390258,0.2109813
Cdk5r2,4.185249,-0.28771922,2.848535943880938e-05,8.36870334704579e-05,0.22300706357214933,0.13092056421677803,0.074204884,0.089866325
Tbxas1,4.1815567,-0.33473396,2.8952028163203096e-05,8.504875880018228e-05,0.16448032290615539,0.07958426132145509,0.06956768,0.08696526
Cdh19,4.180546,-0.63384336,2.908104701154545e-05,8.541842295586207e-05,0.2391523713420787,0.1417223459539718,0.11681957,0.17586797
