names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_14 (for_DEGs),mean_expr_Rest (for_DEGs)
Enah,15.239494,0.96724254,1.933612163427492e-52,2.7933418726503606e-50,0.9120879120879121,0.7387554585152838,1.5498691,1.0640315
Mirg,15.230541,1.2924984,2.2174826730637897e-52,3.186297295466526e-50,0.7307692307692307,0.4987991266375546,0.8709802,0.44925994
Ankrd55,15.174595,2.8855364,5.209811957568554e-52,7.40675382538979e-50,0.4706959706959707,0.12299854439592431,0.44414583,0.07294011
Galnt14,15.137087,1.6667694,9.220852934902974e-52,1.3040227282149628e-49,0.663003663003663,0.3955240174672489,0.89249134,0.37426198
Osbpl9,14.97559,1.084366,1.0602288646360028e-50,1.4760802897807977e-48,0.7985347985347986,0.5877729257641922,0.983863,0.58211523
Pdzrn4,14.917366,1.3214915,2.541092903768068e-50,3.5014957089357945e-48,0.8131868131868132,0.5346797671033479,1.3164936,0.7383393
Abat,14.883835,1.7008736,4.1973800306846707e-50,5.754265378800873e-48,0.6043956043956044,0.33617176128093157,0.65761703,0.25163406
Csmd3,14.865119,0.8360279,5.551620226749269e-50,7.572184542779332e-48,0.9908424908424909,0.8975618631732168,3.093395,2.5488904
Frmd3,14.653558,1.5714,1.278430702386043e-48,1.6838937731918124e-46,0.63003663003663,0.36080786026200873,0.657202,0.27210173
Thsd7a,14.606407,1.551276,2.556495791031382e-48,3.3508800929274744e-46,0.8003663003663004,0.5738719068413392,1.5755571,0.8363818
Phf20l1,14.597806,1.0632335,2.900277559271714e-48,3.783031942603444e-46,0.9157509157509157,0.7711062590975255,1.7597629,1.1946425
Adam12,14.5959425,1.9040754,2.9806649094480863e-48,3.869104643327057e-46,0.5805860805860806,0.2912299854439592,0.75253904,0.26227677
Fchsd2,14.57673,0.9097324,3.949888803849704e-48,5.078158476528303e-46,0.8461538461538461,0.6395196506550218,1.1586939,0.771705
Gm16083,14.559347,1.8703915,5.0941880261560825e-48,6.518134869657806e-46,0.5677655677655677,0.27991266375545854,0.57288724,0.19187458
Vip,14.491625,4.9996567,1.3686606538587449e-47,1.7347128193011542e-45,0.39377289377289376,0.045378457059679765,0.7786256,0.036173888
Tmem130,14.483275,1.5743194,1.5455278214031209e-47,1.949686974699618e-45,0.6135531135531136,0.3522561863173217,0.5992214,0.24341066
Lhfpl3,14.46613,1.2574854,1.983189249458202e-47,2.478525355020553e-45,0.7417582417582418,0.46946870451237266,1.1534815,0.64569914
Ccser1,14.423809,1.0049132,3.665408660275065e-47,4.5386880507645626e-45,0.9963369963369964,0.8585880640465793,2.8876512,2.2456727
Clstn3,14.410065,1.2386525,4.472921182205631e-47,5.5131831268745556e-45,0.6813186813186813,0.4554585152838428,0.71785504,0.36808836
Alk,14.311517,1.9374024,1.8542461237715247e-46,2.2647087884427664e-44,0.5604395604395604,0.23395196506550217,0.75101185,0.2563406
Klf12,14.302478,1.010987,2.1115414408130116e-46,2.567290430526951e-44,0.945054945054945,0.710844250363901,1.5811833,1.0701096
Rcan2,14.287489,1.4241037,2.6188375192261288e-46,3.169737123495769e-44,0.6483516483516484,0.3609170305676856,0.71705496,0.32979655
Nell1,14.237886,1.4761772,5.331533132395229e-46,6.395459610154455e-44,0.7582417582417582,0.4985443959243086,1.4357746,0.7660483
Limch1,14.022097,1.0561175,1.1419043834917276e-44,1.3225418441561517e-42,0.9230769230769231,0.7263828238719069,1.6148793,1.0773259
Gm5087,13.97067,2.686462,2.3540159810987625e-44,2.714695682923766e-42,0.4652014652014652,0.15524017467248907,0.54929346,0.107702404
A230006K03Rik,13.926097,1.0841503,4.397374759985264e-44,5.049464094051455e-42,0.8882783882783882,0.6606622998544396,1.7566409,1.1819385
Fxyd6,13.874318,2.0230083,9.065152380584408e-44,1.0365133807076725e-41,0.5091575091575091,0.2175764192139738,0.503811,0.14942227
Frmd4a,13.858907,0.89856863,1.123734225020808e-43,1.2740396044856165e-41,0.9945054945054945,0.8523289665211062,2.738793,2.170316
