names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lymphoid NN (for_DEGs),mean_expr_Rest (for_DEGs)
Ppargc1b,-4.0933056,-3.03864,4.252669750600188e-05,0.0007047021481408132,0.024390243902439025,0.4030835424883471,0.038219195,0.27773136
Ddx46,-4.0937223,-1.132177,4.245029684026086e-05,0.0007040984420356849,0.07317073170731707,0.47655073503047685,0.18718089,0.3723839
Xpo1,-4.0939355,-0.9364543,4.2411258499590444e-05,0.0007038854329116709,0.12195121951219512,0.5561491574040874,0.29712492,0.5081131
Slc24a4,-4.0951276,-28.28714,4.21936254604457e-05,0.0007007062522386749,0.0,0.3695231265686626,0.0,0.28333548
Camk2b,-4.0957284,-1.1409028,4.208432630699273e-05,0.0006993233443839794,0.1951219512195122,0.6792040157762639,0.49271783,0.87720776
Yaf2,-4.0967264,-1.8025649,4.1903342269113105e-05,0.0006971782085269778,0.04878048780487805,0.43865184653997846,0.10652778,0.3308331
Sash1,-4.0985875,-2.7991822,4.156794347651204e-05,0.0006920264195872854,0.04878048780487805,0.43205449982072425,0.0726324,0.4215793
Fam193b,-4.099198,-1.4793675,4.14584468825855e-05,0.0006906314121110182,0.07317073170731707,0.47425600573682325,0.14174019,0.3538838
Abhd18,-4.0997796,-1.3340547,4.135441889095607e-05,0.0006893258285359737,0.0975609756097561,0.5146288992470419,0.19448178,0.43258488
Mcph1,-4.099973,-1.7119696,4.1319797967106355e-05,0.0006891762702521091,0.07317073170731707,0.4759770527070635,0.12913904,0.3726677
Slc7a6,-4.103065,-1.8385338,4.077129809363193e-05,0.0006804501737738447,0.04878048780487805,0.4399067766224453,0.09772724,0.31273982
Ttc39c,-4.1030746,-28.119026,4.076958957204447e-05,0.0006804501737738447,0.0,0.37024022947292934,0.0,0.25582075
Slf2,-4.104848,-1.2100949,4.0458071339404197e-05,0.0006760624234389246,0.14634146341463414,0.5959483685908928,0.28365618,0.5646202
Myo9a,-4.104848,-1.7232128,4.0458071339404197e-05,0.0006760624234389246,0.2682926829268293,0.8038006453926139,0.6229159,1.3490759
Ppm1e,-4.106108,-1.7163509,4.0238147919578255e-05,0.0006732248036108766,0.36585365853658536,0.8110792398709215,0.8399164,1.6724129
Ecpas,-4.106108,-1.4315418,4.0238147919578255e-05,0.0006732248036108766,0.24390243902439024,0.7547508067407673,0.54559016,1.0842665
Rnf121,-4.10824,-28.015783,3.986855210037867e-05,0.0006678728147987375,0.0,0.37070634636070277,0.0,0.24010946
Mgll,-4.108531,-1.7030162,3.981840300042375e-05,0.0006674488388155871,0.07317073170731707,0.4757260666905701,0.15228632,0.42889407
Zmynd11,-4.1088314,-1.351035,3.9766645159163857e-05,0.0006669973504536409,0.21951219512195122,0.727895302975977,0.46969223,0.92794234
Acin1,-4.111196,-1.3192533,3.9361484151968426e-05,0.0006606140407016812,0.14634146341463414,0.5882036572248117,0.25165474,0.5388625
Mapkap1,-4.1124077,-1.1131392,3.915544285106913e-05,0.0006575667183801422,0.14634146341463414,0.5969881678020796,0.29984367,0.56323403
Dcaf5,-4.1129985,-0.9453802,3.9055266755645735e-05,0.0006562945701839906,0.12195121951219512,0.5589458587307279,0.2909603,0.5009761
Strada,-4.1139097,-1.6928855,3.890137314651886e-05,0.0006541175822571726,0.07317073170731707,0.4747938329150233,0.12916334,0.36863348
